matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,3.01188,2.14327,2.68032,1.85367,2.3673,2.32588,2.54409,2.47573
144,144649,144649,2148786,1,12.7858,13.3528,13.2548,13.6015,10.7934,13.9283,13.8038,10.691
2cubes_sphere,101492,101492,1647264,1,13.0569,15.8621,16.046,13.686,15.4629,16.2552,15.234,15.6614
333SP,3712815,3712815,22217266,1,3.0536,2.9016,2.49836,2.82781,3.63709,3.64316,2.86548,2.42179
3dtube,45330,45330,3213618,1,7.43397,8.3383,9.29511,8.74923,10.5442,10.1726,10.1487,9.51766
3elt,4720,4720,27444,1,10.3018,9.70439,9.32676,10.2174,10.1382,9.76308,9.71813,10.1083
3elt_dual,9000,9000,26556,1,10.408,8.94292,10.4964,8.44119,9.52852,9.6462,8.7456,9.23205
494_bus,494,494,1666,1,1.03094,0.999403,1.00392,0.955002,1.42944,0.981732,0.991076,1.23775
598a,110971,110971,1483868,1,11.7171,13.6599,13.8556,14.079,14.0067,14.3939,13.9517,5.06348
662_bus,662,662,2474,1,1.72584,1.65596,1.43172,1.29972,1.62018,1.5688,1.18828,1.42717
685_bus,685,685,3249,1,1.99754,1.82888,2.67518,1.68429,2.78048,1.99326,1.88676,1.51787
ACTIVSg70K,69999,69999,238627,1,5.66891,5.54469,5.58362,5.46789,5.71452,5.74465,5.59894,5.6546
AS365,3799275,3799275,22736152,1,3.02438,2.94554,2.9273,2.91235,2.77609,2.3009,3.06156,2.80473
Alemdar,6245,6245,42581,1,12.9544,10.3077,10.284,10.0748,9.82943,,10.5216,9.86925
Andrews,60000,60000,760154,1,13.1952,13.5901,13.5846,13.5512,13.6641,9.43892,13.8941,13.5045
BenElechi1,245874,245874,13150496,1,2.8018,2.39113,2.40282,3.21261,2.80621,2.80808,2.79808,2.80452
Binaryalphadigs_10NN,1404,1404,19392,1,7.60322,8.23961,9.18834,8.54652,8.20481,8.06822,7.76767,6.11734
Bump_2911,2911419,2911419,127729899,1,3.97779,4.04378,3.13875,2.51939,3.73048,2.50663,2.72647,2.849
CO,221119,221119,7666057,1,2.88525,3.12489,3.29966,3.28899,2.74176,3.40865,3.33684,3.67005
Chem97ZtZ,2541,2541,7361,1,4.11804,3.38904,4.88455,5.02802,3.97464,3.65854,3.64316,2.77094
Cube_Coup_dt0,2164760,2164760,127206144,1,2.94944,2.5367,2.74772,3.02794,3.66986,2.55903,3.03903,2.96232
Cube_Coup_dt6,2164760,2164760,127206144,1,2.37794,3.32577,2.83624,3.2651,2.99234,2.75179,4.01554,3.06363
CurlCurl_0,11083,11083,113343,1,14.8326,15.8866,14.9116,16.4731,15.6768,15.5222,15.4072,16.9169
CurlCurl_1,226451,226451,2472071,1,11.3616,13.6789,8.31462,11.2279,13.0369,14.7561,14.9169,14.3616
CurlCurl_2,806529,806529,8921789,1,2.62233,3.3057,3.33529,2.61416,2.6456,2.62704,2.62039,2.62263
CurlCurl_3,1219574,1219574,13544618,1,3.16244,3.05479,3.22825,3.32009,2.58383,3.99198,3.35336,2.88844
CurlCurl_4,2380515,2380515,26515867,1,2.72494,2.91628,3.15389,2.93551,3.51125,2.74866,3.0679,3.11079
Dubcova1,16129,16129,253009,1,17.0583,17.8175,18.065,17.5933,18.4901,,18.3446,11.8461
Dubcova2,65025,65025,1030225,1,18.0671,19.1574,17.9851,19.287,19.3049,19.1131,18.87,11.4282
Dubcova3,146689,146689,3636649,1,5.88385,6.47908,5.74488,6.9854,7.29944,7.13484,7.36101,3.38299
EX1,560,560,8736,1,4.06704,4.53818,4.32582,4.10622,5.11475,4.62588,4.69425,4.99628
EX2,560,560,8736,1,4.52761,4.82521,5.09833,4.8996,5.49087,5.67458,5.83176,4.19195
EX3,2600,2600,71760,1,13.077,13.2631,13.609,13.3706,13.3931,13.295,13.509,13.0082
EX4,2600,2600,71760,1,13.1308,13.1658,13.3507,13.2057,13.8707,14.4386,13.1069,13.4119
EX5,6545,6545,295680,1,15.9092,17.0997,17.1012,16.7477,17.0122,,16.8072,17.0627
EX6,6545,6545,295680,1,16.8296,16.9936,17.0318,17.0244,17.0171,,17.1762,17.1468
Ecoli_10NN,336,336,4560,1,2.55462,3.40173,2.83846,3.19329,2.31944,3.19776,2.95051,2.38243
Emilia_923,923136,923136,41005206,1,3.36251,3.27567,2.33276,3.2723,2.49287,3.19918,3.26453,3.31679
Erdos02,6927,6927,16944,1,2.97081,5.29501,2.62474,5.36881,5.13299,2.80762,3.04037,2.52594
Erdos971,472,472,2628,1,,2.12621,1.63078,1.51952,2.07994,1.49276,1.70539,2.32361
Erdos972,5488,5488,14170,1,3.05191,5.33711,2.72134,5.52975,6.27407,3.57331,4.31487,2.42512
Erdos981,485,485,2762,1,,1.59884,1.76429,1.56576,1.82552,1.48216,1.66386,1.41968
Erdos982,5822,5822,14750,1,3.0142,5.45689,3.87393,5.2688,5.6009,3.57013,4.50175,2.39935
Erdos991,492,492,2834,1,1.45782,1.53397,2.18673,1.63108,2.30126,2.36561,1.80166,2.34994
Erdos992,6100,6100,15030,1,3.02232,4.7616,3.55193,5.3813,6.38893,3.38095,4.87196,2.46879
F1,343791,343791,26837113,1,2.40596,3.25388,2.47823,3.15369,3.13497,3.26724,3.34169,1.85532
F2,71505,71505,5294285,1,2.75398,3.79957,3.8874,3.4966,3.24907,3.56049,3.43751,2.66158
Fashion_MNIST_norm_10NN,10000,10000,158304,1,11.6242,13.0238,13.4327,13.7345,13.2811,13.4253,13.5633,13.4082
Fault_639,638802,638802,28614564,1,2.51311,2.7478,2.70928,3.26793,2.54099,3.57866,2.57612,2.60409
Flan_1565,1564794,1564794,117406044,1,2.68052,2.7677,3.607,3.10792,2.46339,3.2921,2.73864,3.63975
G1,800,800,38352,1,9.69219,9.9901,10.1864,11.4347,10.7958,10.7655,11.6536,10.318
G10,800,800,38352,1,9.66775,10.2259,10.3654,10.138,10.2807,10.177,11.5275,11.4058
G11,800,800,3200,1,2.16144,2.20537,2.50587,2.01575,2.38806,2.15271,2.12413,1.75294
G12,800,800,3200,1,2.24091,1.31336,2.1419,2.36248,2.04213,3.06809,2.0592,2.07322
G13,800,800,3200,1,2.95474,2.19931,2.99907,1.64018,1.79072,1.86752,1.93822,1.49149
G14,800,800,9388,1,3.98556,4.83044,4.54734,4.68578,4.13206,5.64014,4.25085,3.97711
G15,800,800,9322,1,4.61714,5.44513,3.67152,4.07877,4.78419,4.02418,4.18402,3.81345
G16,800,800,9344,1,4.896,4.94128,3.65571,6.14129,6.21482,4.95704,3.96352,3.96857
G17,800,800,9334,1,4.11462,4.99811,3.80746,5.97951,6.491,4.16976,4.03023,3.80437
G18,800,800,9388,1,3.66075,6.37772,3.83575,5.82744,5.96064,4.88323,4.19857,3.90922
G19,800,800,9322,1,3.78327,6.20018,3.50517,4.99838,4.61599,4.99036,4.64706,3.87205
G2,800,800,38352,1,9.77993,11.6518,10.4034,11.7034,10.8003,10.1153,10.0398,11.078
G20,800,800,9344,1,3.83265,6.09726,3.65929,6.19216,4.99145,4.2166,4.50965,3.97026
G21,800,800,9334,1,3.21087,4.86523,3.48023,5.11734,4.5432,5.85573,4.05473,3.38127
G22,2000,2000,39980,1,11.7347,12.3072,10.9369,11.997,12.6239,11.2162,10.8759,11.0305
G23,2000,2000,39980,1,11.6526,11.9844,12.6619,12.2169,12.4413,11.3531,12.4142,12.5803
G24,2000,2000,39980,1,12.0767,12.527,10.9699,11.2763,12.024,12.2619,11.1241,12.7244
G25,2000,2000,39980,1,11.6918,10.7185,12.5133,12.4762,12.4977,12.3395,12.4957,11.0534
G26,2000,2000,39980,1,12.0096,12.3338,12.2845,12.1115,12.3167,12.6981,11.9522,12.2507
G27,2000,2000,39980,1,10.8804,12.372,12.2563,12.3016,11.7588,12.2207,12.277,12.6479
G28,2000,2000,39980,1,11.8758,12.0567,12.2751,11.8953,12.2469,10.9384,12.0349,12.5605
G29,2000,2000,39980,1,11.4753,10.9835,12.2845,12.1354,12.4104,11.138,11.0656,12.4664
G2_circuit,150102,150102,726674,1,13.2409,15.9992,15.008,18.5378,18.9794,18.9406,17.7009,17.8476
G3,800,800,38352,1,9.50247,10.5945,10.2109,11.8553,9.86292,11.5257,9.80994,10.7444
G30,2000,2000,39980,1,12.5016,12.4046,10.9235,10.212,12.1742,12.4977,12.4471,12.2544
G31,2000,2000,39980,1,11.6747,11.0365,12.0367,12.3433,10.9176,12.4723,12.0349,10.3602
G32,2000,2000,8000,1,3.87035,4.28723,4.20057,4.75765,4.2508,4.78756,5.59831,4.006
G33,2000,2000,8000,1,4.51977,4.94745,5.97684,3.84708,3.8835,4.87063,4.75483,4.05472
G34,2000,2000,8000,1,4.88549,3.76826,6.07441,3.93024,4.67973,5.1613,4.66336,5.74919
G35,2000,2000,23556,1,5.41579,9.00976,5.95827,9.28868,8.80764,7.48641,7.98508,4.40382
G36,2000,2000,23532,1,5.55196,7.80498,6.27102,8.7659,8.99712,8.01635,7.45509,4.51323
G37,2000,2000,23570,1,5.54588,8.2011,6.29372,7.50756,9.67967,7.69632,5.88808,4.29795
G38,2000,2000,23558,1,6.38687,8.227,5.82831,8.64198,7.35727,7.34122,6.28549,4.33889
G39,2000,2000,23556,1,5.4264,8.37991,6.55608,9.19617,9.06871,7.75634,8.14945,4.387
G3_circuit,1585478,1585478,7660826,1,3.06549,3.06888,2.97845,2.96596,2.95034,3.12991,3.26894,2.97728
G4,800,800,38352,1,9.57841,11.2568,10.2917,10.343,10.0582,10.2683,9.89473,9.98878
G40,2000,2000,23532,1,5.49556,8.0963,5.80178,8.85829,8.70109,7.15259,7.22838,4.45302
G41,2000,2000,23570,1,5.67405,9.48874,5.53546,9.40166,9.48107,6.9395,5.68089,4.39657
G42,2000,2000,23558,1,5.78893,9.54345,6.29388,8.87809,9.12567,7.97765,6.16378,4.3198
G43,1000,1000,19980,1,6.89798,7.94431,7.70684,7.83068,8.11201,8.36159,7.96492,8.21717
G44,1000,1000,19980,1,7.80621,5.51782,8.13848,9.20523,7.93802,8.26304,7.59263,8.80177
G45,1000,1000,19980,1,7.37542,9.41343,7.95697,7.51267,8.09399,8.22899,7.94749,7.76676
G46,1000,1000,19980,1,7.68905,7.60854,8.87801,8.37383,9.87646,7.9952,7.67133,7.71127
G47,1000,1000,19980,1,9.0777,8.26132,8.46073,7.97287,8.04509,9.65685,7.74869,7.60854
G48,3000,3000,12000,1,,7.68732,5.82241,5.7211,6.12869,6.21277,6.1287,8.02134
G49,3000,3000,12000,1,,6.28111,6.12557,7.75943,5.93911,5.94648,6.17443,7.08381
G5,800,800,38352,1,9.3382,9.97453,11.3535,10.1932,10.1811,10.7368,11.4792,10.1797
G50,3000,3000,12000,1,5.82099,6.19197,6.79502,7.51176,6.9828,7.21152,8.01335,8.15774
G51,1000,1000,11818,1,4.12135,5.97926,3.93147,5.61024,7.70153,5.42858,4.48841,3.98786
G52,1000,1000,11832,1,4.91261,5.89097,4.99557,6.83337,6.04599,4.92487,4.43478,4.14577
G53,1000,1000,11828,1,5.00021,7.06782,5.01505,7.50749,6.02701,5.35567,4.73594,4.066
G54,1000,1000,11832,1,4.71865,5.54192,4.76137,6.01985,7.61883,6.1802,4.72147,4.13201
G55,5000,5000,24996,1,7.02332,7.41061,7.62887,7.26416,8.40483,7.42934,7.13153,7.33773
G56,5000,5000,24996,1,6.8945,7.3388,8.00897,6.96267,7.15809,7.36043,7.56881,7.23369
G57,5000,5000,20000,1,10.3226,8.72789,8.24402,8.49616,7.54434,9.05386,8.03859,8.05801
G58,5000,5000,59140,1,6.23117,10.2817,6.53264,10.4821,11.3241,8.24998,8.84601,4.80813
G59,5000,5000,59140,1,6.20664,10.2062,6.57696,10.0749,11.1585,8.18094,8.77123,4.88962
G6,800,800,38352,1,9.7625,10.1527,10.2477,10.3556,11.2933,11.7554,10.1233,10.1006
G60,7000,7000,34296,1,7.3384,7.80963,8.85058,7.77599,7.02787,7.4516,8.09536,8.16377
G61,7000,7000,34296,1,6.68864,7.86605,7.94716,7.79012,7.85165,7.68021,8.21363,7.81141
G62,7000,7000,28000,1,12.362,10.3264,10.0072,10.3608,10.6687,10.685,10.6464,9.92204
G63,7000,7000,82918,1,6.28762,11.2477,6.6028,10.1064,11.1976,10.2009,8.30675,5.01895
G64,7000,7000,82918,1,6.33954,10.8745,6.52564,9.65735,11.2683,9.81743,8.21377,4.95121
G65,8000,8000,32000,1,10.6083,11.0003,11.2915,11.4367,11.1576,11.4408,11.9292,11.4613
G66,9000,9000,36000,1,12.9613,12.952,11.1403,11.5811,11.396,12.8023,11.4286,11.9186
G67,10000,10000,40000,1,13.3511,12.5333,12.147,12.1821,11.8571,12.0247,11.9904,12.1951
G7,800,800,38352,1,9.72414,9.92932,10.1662,8.34646,11.6962,10.3752,10.7173,9.78619
G8,800,800,38352,1,10.7489,10.13,10.3166,10.271,10.371,10.0293,9.86166,10.5088
G9,800,800,38352,1,9.99791,11.4296,9.87182,10.2327,10.3083,10.2095,9.79993,11.5483
GAP-road,23947347,23947347,57708624,1,1.92207,2.38684,2.02613,2.32455,2.05185,2.07566,2.32951,1.88881
GD06_theory,101,101,380,1,0.256757,0.236392,0.252492,0.295146,0.32872,0.351526,0.249753,0.284006
GD96_c,65,65,250,1,0.193273,0.21106,0.193499,0.200162,0.145815,0.286369,0.201532,0.269395
GD97_a,84,84,332,1,0.221851,0.211196,0.221334,0.213574,0.254992,0.202872,0.317551,0.253919
GD97_b,47,47,264,1,,0.308773,0.186178,0.217822,0.178983,0.257435,0.255566,0.217553
GD98_c,112,112,336,1,0.19609,0.36071,0.241292,0.236619,0.19366,0.317732,0.357256,0.231804
GD99_b,64,64,252,1,0.176285,0.176532,0.184008,0.178787,0.227539,0.202572,0.289488,0.240001
G_n_pin_pout,100000,100000,1002396,1,11.235,11.4879,11.6961,11.3731,11.6139,11.4236,11.7646,11.5327
Ga10As10H30,113081,113081,6115633,1,1.58561,2.63449,2.07275,1.45165,2.29794,2.36409,1.99215,2.25491
Ga19As19H42,133123,133123,8884839,1,1.75499,1.63119,2.90531,2.08771,2.34254,2.43941,2.95585,2.38524
Ga3As3H12,61349,61349,5970947,1,0.777961,1.31083,1.59507,1.43028,1.54392,2.4826,1.06825,2.85472
Ga41As41H72,268096,268096,18488476,1,1.43697,1.64622,2.37058,2.73724,2.09145,2.87195,2.59228,1.91588
GaAsH6,61349,61349,3381809,1,2.16344,2.70425,2.12766,3.38072,3.09662,5.33138,3.21248,4.90802
Ge87H76,112985,112985,7892195,1,1.26398,2.04558,2.53196,2.25307,2.21194,2.73672,2.27765,2.66308
Ge99H100,112985,112985,8451395,1,1.25914,1.62537,1.99049,3.31714,2.56684,2.90805,2.32145,2.42096
Geo_1438,1437960,1437960,63156690,1,2.3365,2.34224,2.97459,2.97001,2.35504,2.3487,2.34636,2.9814
Glass_10NN,214,214,2986,1,2.71826,1.59211,2.65422,1.75441,1.8587,1.94338,2.01689,2.21841
H2O,67024,67024,2216736,1,15.0637,16.3537,15.5127,4.33563,15.3828,9.22376,14.93,9.67578
HTC_336_4438,226340,226340,904522,1,5.97375,7.95824,10.6459,12.0175,12.8995,11.6382,9.01053,7.42458
HTC_336_9129,226340,226340,883422,1,6.39024,9.46238,10.0742,4.78344,12.52,12.2578,8.73961,7.65345
Hardesty1,938905,938905,12143314,1,2.37834,3.03319,3.18719,2.97147,2.988,3.01121,3.30298,3.02488
Hook_1498,1498023,1498023,60917445,1,2.23038,2.54347,2.95206,3.31302,2.53274,2.56108,2.54866,3.18801
JapaneseVowelsSmall_10NN,9961,9961,131144,1,12.6942,12.7028,12.9022,12.9041,12.7995,,12.9891,12.8465
Journals,124,124,12068,1,4.95301,6.88621,6.97371,5.66838,4.94085,5.14189,5.53832,6.12744
Kuu,7102,7102,340200,1,14.4217,15.9065,15.8443,15.5694,15.7533,15.6507,16.3318,15.8768
L,956,956,3640,1,1.96067,2.11874,3.08735,2.05823,2.12928,2.25947,2.57699,2.19673
L-9,17983,17983,71192,1,15.3365,13.5643,14.914,14.8425,13.8492,13.8749,13.9688,14.4876
LF10,18,18,82,1,0.0514753,0.0597231,0.08,0.0655217,0.0648991,0.0658106,0.0483776,0.0581563
LF10000,19998,19998,99982,1,16.2877,14.8628,16.117,18.21,16.9475,18.1192,18.3706,18.0229
LFAT5,14,14,46,1,0.0495423,0.031889,0.0332971,0.051339,0.0471074,0.044252,0.036537,0.0411821
LFAT5000,19994,19994,79966,1,14.3979,14.8319,15.7833,16.1287,14.7389,14.7023,14.7362,16.7732
Lin,256000,256000,1766400,1,12.2908,15.7581,16.008,16.727,16.5649,16.1804,17.8999,16.5697
Long_Coup_dt0,1470152,1470152,87088992,1,3.25648,2.37994,2.5503,2.95293,2.53064,2.55149,2.77859,2.53549
Long_Coup_dt6,1470152,1470152,87088992,1,3.08848,2.54147,2.55144,2.74511,2.56467,2.55354,2.56255,2.54708
M6,3501776,3501776,21003872,1,3.09711,2.62552,2.86216,3.03049,2.8191,2.93292,3.06016,3.0502
MISKnowledgeMap,2427,2427,57022,1,9.12061,11.3941,11.6574,12.0427,10.5822,10.8428,9.95322,10.8191
Muu,7102,7102,170134,1,15.0534,15.5168,15.9511,15.9331,15.8301,15.7262,16.0066,16.55
NACA0015,1039183,1039183,6229636,1,3.17639,3.18491,3.22384,3.14427,3.03047,3.30927,3.3315,3.05237
NLR,4163763,4163763,24975952,1,3.26401,3.12924,2.86176,3.02819,2.96954,3.01256,2.85768,2.55796
Na5,5832,5832,305630,1,6.00033,10.715,7.70868,11.3071,6.92929,11.5901,7.64104,11.5657
NotreDame_yeast,2114,2114,4480,1,2.38107,3.37477,3.53172,2.06499,3.12193,3.37477,3.08115,1.88275
OPF_10000,43887,43887,467711,1,13.1214,17.075,16.574,18.7272,18.7704,18.6387,14.6311,9.40577
OPF_3754,15435,15435,158273,1,12.8084,15.2781,15.005,16.7307,17.0277,16.6358,13.0411,9.83276
OPF_6000,29902,29902,302418,1,12.3282,17.6961,15.4307,18.3189,18.33,18.6505,13.0705,9.1845
Olivetti_norm_10NN,400,400,5656,1,4.72513,4.52119,3.30858,3.40518,3.25806,3.6823,2.78827,3.74567
Oregon-1,11492,11492,46818,1,,4.77491,3.4099,5.00781,6.15945,3.0297,3.69489,3.37548
Oregon-2,11806,11806,65460,1,,4.76905,4.13937,4.96266,4.52666,4.14107,3.22853,4.16267
PFlow_742,742793,742793,37138461,1,2.79675,2.86259,3.08246,2.75317,2.61266,3.2167,2.82962,2.36767
PGPgiantcompo,10680,10680,48632,1,3.68215,6.01397,4.76434,6.28889,5.70062,6.03861,4.75015,5.68762
Plants_10NN,1600,1600,21930,1,8.10122,8.41519,9.64803,9.84953,8.85523,9.53893,8.26456,8.6017
Pres_Poisson,14822,14822,715804,1,18.1536,17.9873,18.2013,18.0481,18.4165,18.3089,18.272,18.3636
Queen_4147,4147110,4147110,329499284,1,2.54632,2.45146,2.85916,2.55718,2.34473,2.57125,2.53238,2.40424
Reuters911,13332,13332,296076,1,2.50041,8.74658,,9.5587,4.15085,5.34202,2.83772,10.8528
Sandi_authors,86,86,248,1,0.242542,0.231668,0.183501,0.171804,0.259414,0.251777,0.175513,0.195584
Serena,1391349,1391349,64531701,1,2.63142,2.69716,2.70436,3.17253,2.51792,2.68252,2.87495,2.72524
Si10H16,17077,17077,875923,1,5.85287,7.53145,8.88117,11.3591,8.47027,,6.6751,9.05075
Si2,769,769,17801,1,7.09629,6.27791,6.1235,6.59782,7.1076,7.34365,6.56137,7.68278
Si34H36,97569,97569,5156379,1,1.02408,3.11517,3.03208,2.52046,3.27584,2.48751,2.61526,2.70326
Si41Ge41H72,185639,185639,15011265,1,1.19694,1.70633,2.26282,1.86785,2.30908,2.39396,2.19137,2.73259
Si5H12,19896,19896,738598,1,11.3117,10.9181,8.15212,9.43359,8.20063,10.6143,8.73941,13.4589
Si87H76,240369,240369,10661631,1,1.66212,2.52689,2.4633,2.51812,2.38412,2.8839,2.46373,2.52736
SiH4,5041,5041,171903,1,9.72082,11.0435,5.8576,7.9914,6.47152,,6.18134,10.4586
SiNa,5743,5743,198787,1,8.13551,8.37333,6.42232,7.71524,5.84152,10.8951,7.93925,10.8281
SiO,33401,33401,1317655,1,7.63628,10.5038,8.97744,7.0959,6.49181,5.94228,8.57335,10.0848
SiO2,155331,155331,11283503,1,0.728274,1.50573,1.07694,1.1153,0.762448,1.84433,0.556602,1.35673
Spectro_10NN,531,531,7422,1,3.47309,4.10168,3.65256,4.89253,4.13597,4.31012,4.82889,4.27782
StocF-1465,1465137,1465137,21005389,1,2.28578,2.90394,2.90649,2.70644,2.49927,2.86711,2.98988,2.9159
Stranke94,10,10,90,1,0.0496552,0.0625436,0.0839949,0.0573071,0.0683111,0.0543808,0.0866634,0.0614964
TEM152078,152078,152078,6459326,1,3.11102,3.0965,2.62606,3.07223,3.28813,2.46173,3.04949,2.42555
TEM181302,181302,181302,7839010,1,2.72952,3.34877,2.92505,3.34607,3.37451,2.83575,2.81354,2.858
TEM27623,27623,27623,439469,1,16.3499,16.5959,16.5634,16.7194,16.1617,16.4783,16.2893,16.4337
TSC_OPF_1047,8140,8140,2016902,1,5.53128,5.96267,5.30113,4.26353,5.01051,5.48276,5.80074,5.24152
TSC_OPF_300,9774,9774,820804,1,7.27934,11.7958,9.48402,10.9249,10.8123,7.24362,8.18688,9.27536
TSOPF_FS_b162_c1,10798,10798,608540,1,4.64902,5.23367,6.50807,6.41957,10.2071,5.11329,4.46855,4.40551
TSOPF_FS_b162_c3,30798,30798,1801300,1,3.95337,3.55829,6.45481,9.16736,5.83541,4.99258,4.39906,3.78708
TSOPF_FS_b162_c4,40798,40798,2398220,1,3.45954,5.19223,4.8032,7.71565,4.99327,4.54584,3.63764,3.37902
TSOPF_FS_b300,29214,29214,4400122,1,5.38719,2.37734,2.63098,2.99459,2.23796,1.92365,1.83771,1.65745
TSOPF_FS_b300_c1,29214,29214,4400122,1,3.85919,3.11047,2.5935,2.93678,2.27008,2.41013,1.56627,1.66493
TSOPF_FS_b300_c2,56814,56814,8767466,1,0.934315,1.27384,,2.20866,2.11879,1.29983,1.08048,0.98892
TSOPF_FS_b300_c3,84414,84414,13135930,1,1.05472,1.29245,,2.33625,1.53335,1.29447,1.42664,0.933843
TSOPF_FS_b39_c19,76216,76216,1977600,1,4.3659,5.49618,,6.74396,10.4353,5.45854,4.71089,3.84208
TSOPF_FS_b39_c30,120216,120216,3121160,1,2.84725,3.67959,,5.03916,4.32865,2.9809,3.05349,2.73047
TSOPF_FS_b39_c7,28216,28216,730080,1,4.82273,5.55625,5.28578,12.2603,6.77864,5.34969,5.08836,4.38546
TSOPF_FS_b9_c1,2454,2454,25032,1,4.71501,5.23025,5.06977,7.30223,7.21279,5.06464,5.49852,4.29807
TSOPF_FS_b9_c6,14454,14454,147972,1,5.93467,6.18535,6.20324,10.6758,10.7242,6.17219,6.25608,4.92166
Trefethen_150,150,150,2040,1,1.69364,1.38165,1.33595,1.45248,1.23711,1.36592,1.98638,1.37699
Trefethen_20,20,20,158,1,0.105088,0.15582,0.112897,0.151487,0.13085,0.125546,0.160488,0.122481
Trefethen_200,200,200,2890,1,1.96599,1.79115,1.82163,1.82508,1.74201,1.8222,1.85197,2.1095
Trefethen_2000,2000,2000,41906,1,11.0951,11.5874,13.5574,11.6438,12.962,13.063,12.8114,13.6568
Trefethen_20000,20000,20000,554466,1,18.0982,18.586,17.6694,17.7702,17.9181,17.5303,17.4819,17.4344
Trefethen_20000b,19999,19999,554435,1,17.7983,18.4339,17.6617,17.4085,18.5129,17.7467,17.5006,16.997
Trefethen_200b,199,199,2873,1,1.86619,1.81319,1.77127,1.72397,1.86315,1.93663,1.66406,2.80841
Trefethen_20b,19,19,147,1,0.121488,0.0876562,0.155638,0.147963,0.118692,0.114042,0.118788,0.104292
Trefethen_300,300,300,4678,1,2.73728,4.01892,2.91646,4.43199,3.00644,2.42384,2.96264,3.80636
Trefethen_500,500,500,8478,1,4.45741,4.5036,3.85889,4.55195,5.13199,4.46681,4.05065,5.07968
Trefethen_700,700,700,12654,1,5.86376,5.86105,7.64592,4.54771,6.67758,6.44626,5.98864,6.19686
USAir97,332,332,4252,1,2.06659,2.40429,2.17271,2.53776,2.55375,2.41865,2.10391,3.19458
USpowerGrid,4941,4941,13188,1,4.76876,5.28048,5.14553,5.45297,5.79437,5.49385,5.5342,4.80262
Vehicle_10NN,846,846,10894,1,5.62125,5.69175,5.30768,6.99903,5.50342,6.99229,5.55958,7.35588
YaleA_10NN,165,165,2268,1,1.98252,1.46418,1.1791,1.59605,1.18495,1.0688,1.35768,1.3987
YaleB_10NN,2414,2414,34808,1,10.3595,10.8386,9.64611,10.6708,10.8183,9.78028,9.52992,10.2815
a0nsdsil,80016,80016,355034,1,8.25229,12.0709,8.08466,8.19486,13.1048,8.22285,8.99811,10.8012
a2nnsnsl,80016,80016,347222,1,8.32607,11.5619,7.66748,8.18032,11.0058,9.77498,12.4781,10.3599
a5esindl,60008,60008,255004,1,8.87032,8.92824,8.57228,8.73002,13.1588,11.2642,7.5218,9.66638
adaptive,6815744,6815744,27248640,1,2.59152,2.59687,2.58948,2.84564,2.36965,2.51196,2.64715,2.49675
adjnoun,112,112,850,1,0.713088,0.810304,0.833332,0.56516,0.846189,0.62294,0.866463,0.795884
af_0_k101,503625,503625,17550675,1,3.41145,3.29746,2.58327,3.30097,3.2671,3.35896,3.30318,3.31331
af_1_k101,503625,503625,17550675,1,2.79539,3.20906,2.84801,3.31267,2.81388,2.59003,3.87609,3.28526
af_2_k101,503625,503625,17550675,1,3.18233,2.78077,3.29973,3.2902,3.04996,2.80945,3.25815,3.30821
af_3_k101,503625,503625,17550675,1,3.39511,2.95787,3.26889,3.39449,3.32539,3.29147,3.32077,3.02513
af_4_k101,503625,503625,17550675,1,3.38172,3.30223,3.36127,3.14197,3.26986,3.36026,3.32996,3.24112
af_5_k101,503625,503625,17550675,1,4.25332,3.28333,3.47787,4.16016,3.08507,3.20127,3.29649,2.5975
af_shell1,504855,504855,17588875,1,3.80992,3.16887,3.07021,3.30108,3.74792,3.16073,3.11233,3.16948
af_shell10,1508065,1508065,52672325,1,3.25625,2.74892,3.08598,3.17268,2.86523,2.75176,3.32616,3.27078
af_shell2,504855,504855,17588875,1,3.24968,3.10961,3.38562,3.02586,3.26408,3.86557,3.19807,3.15343
af_shell3,504855,504855,17588875,1,3.06586,3.11367,3.22207,3.12558,3.14529,3.07806,3.11829,3.02751
af_shell4,504855,504855,17588875,1,3.15732,3.25147,3.10356,3.28314,3.04064,3.22078,3.76691,3.24879
af_shell5,504855,504855,17588875,1,3.10125,3.16688,3.14764,3.13117,3.29684,2.79915,2.9998,3.26999
af_shell6,504855,504855,17588875,1,2.64004,2.7921,3.10332,3.17131,3.30334,3.13758,3.14716,3.35385
af_shell7,504855,504855,17588875,1,3.04354,3.83471,3.30439,3.11626,3.7433,2.79697,3.09913,3.3101
af_shell8,504855,504855,17588875,1,3.2104,2.43018,3.23798,3.33946,3.24845,3.15352,3.08723,2.59331
af_shell9,504855,504855,17588875,1,3.2299,2.3744,3.24971,3.11696,2.79457,3.07744,3.1255,3.38202
aft01,8205,8205,125567,1,16.3883,17.406,16.547,17.201,17.2494,,16.4581,17.753
airfoil1,4253,4253,24578,1,8.97827,9.42405,9.73772,8.7669,9.18802,9.08109,8.72799,9.33281
airfoil1_dual,8034,8034,23626,1,10.6137,8.84209,10.0772,8.29273,8.71162,8.63838,7.8038,8.57256
ak2010,45292,45292,217098,1,6.45808,6.65771,6.86834,6.70066,6.70728,6.62349,7.72124,6.68601
al2010,252266,252266,1230482,1,5.19573,6.46853,6.74301,6.75703,6.72965,6.73073,7.1304,6.73337
