matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
144,144649,144649,2148786,1,2.1378,2.135495,2.12722,2.117,2.0659
2cubes_sphere,101492,101492,1647264,1,2.571635,2.51908,2.52097,2.63521,2.52291
333SP,3712815,3712815,22217266,1,1.676625,1.668005,1.66625,1.753875,1.41475
3dtube,45330,45330,3213618,1,2.476065,2.45455,2.44586,2.450245,2.4930700000000003
598a,110971,110971,1483868,1,2.14387,2.133045,2.13932,2.123355,2.017995
ACTIVSg70K,69999,69999,238627,1,0.8515385,0.8496425,0.8518505000000001,0.8227694999999999,0.8578809999999999
AS365,3799275,3799275,22736152,1,1.359635,1.360625,1.368975,1.444305,0.7325285
Andrews,60000,60000,760154,1,2.06118,2.06233,2.062315,2.098875,2.0380200000000004
BenElechi1,245874,245874,13150496,1,2.59821,2.58748,2.594125,2.601515,2.59478
Bump_2911,2911419,2911419,127729899,1,,,,2.55132,2.5517
Cube_Coup_dt0,2164760,2164760,127206144,1,,,,2.53317,2.52151
CurlCurl_0,11083,11083,113343,1,3.000225,2.75113,2.7293700000000003,2.881575,
CurlCurl_1,226451,226451,2472071,1,3.05973,2.97764,2.96875,2.999315,3.14769
CurlCurl_2,806529,806529,8921789,1,2.970885,2.954845,2.9039200000000003,2.92488,3.06228
CurlCurl_3,1219574,1219574,13544618,1,2.94465,2.93964,2.8729050000000003,2.9279650000000004,3.0738000000000003
CurlCurl_4,2380515,2380515,26515867,1,2.919195,2.889755,2.87536,2.936025,3.04109
Dubcova1,16129,16129,253009,1,3.355115,3.34332,,3.305685,3.380125
Dubcova2,65025,65025,1030225,1,3.417885,3.42498,3.40071,3.3324350000000003,3.38105
Dubcova3,146689,146689,3636649,1,2.97414,2.982775,2.9882850000000003,2.895905,3.002785
Emilia_923,923136,923136,41005206,1,2.56089,2.5783,2.566755,2.559915,2.5647900000000003
F1,343791,343791,26837113,1,2.28514,2.299525,2.281635,2.30912,2.23695
F2,71505,71505,5294285,1,2.3387900000000004,2.33792,2.31214,2.3362,2.29376
Fault_639,638802,638802,28614564,1,2.534605,2.517205,2.515865,2.53962,2.5358
Flan_1565,1564794,1564794,117406044,1,,,,2.405045,2.40919
G2_circuit,150102,150102,726674,1,2.94106,2.937305,2.938715,2.963125,3.02159
G3_circuit,1585478,1585478,7660826,1,2.65097,2.638895,2.63844,2.69983,2.62753
GAP-road,23947347,23947347,57708624,1,0.7096005000000001,0.6960705,0.7013705,0.7011425,0.6662060000000001
G_n_pin_pout,100000,100000,1002396,1,1.709975,1.712145,1.703225,1.493935,1.725865
Ga10As10H30,113081,113081,6115633,1,2.26248,2.276565,2.257415,2.26309,2.27916
Ga19As19H42,133123,133123,8884839,1,2.15517,2.16147,2.15424,2.1388100000000003,2.173455
Ga3As3H12,61349,61349,5970947,1,1.997165,2.008815,1.992075,1.993925,1.99729
Ga41As41H72,268096,268096,18488476,1,2.149995,2.16242,2.137325,2.1241,2.1666
GaAsH6,61349,61349,3381809,1,2.2426,2.241015,2.213475,2.238055,2.234605
Ge87H76,112985,112985,7892195,1,2.171055,2.15847,2.14202,2.14418,2.17557
Ge99H100,112985,112985,8451395,1,2.141495,2.14156,2.127935,2.117675,2.140575
Geo_1438,1437960,1437960,63156690,1,2.566975,2.57038,2.5640400000000003,2.57003,2.555465
H2O,67024,67024,2216736,1,2.812405,2.8011350000000004,2.76301,2.790265,2.81641
HTC_336_4438,226340,226340,904522,1,2.57416,2.53112,2.539645,2.56185,2.58979
HTC_336_9129,226340,226340,883422,1,2.54207,2.5440750000000003,2.500055,2.559745,2.596295
Hardesty1,938905,938905,12143314,1,3.06948,3.09865,3.060505,3.115,3.120325
Hook_1498,1498023,1498023,60917445,1,2.49563,2.496475,2.490555,2.4730600000000003,2.4953700000000003
L-9,17983,17983,71192,1,2.6505650000000003,2.637035,2.64394,2.622685,2.73805
LF10000,19998,19998,99982,1,3.02687,3.017395,3.017005,3.027505,3.024465
LFAT5000,19994,19994,79966,1,2.7676800000000004,2.76245,2.76467,2.766895,2.9119900000000003
Lin,256000,256000,1766400,1,2.96524,2.94123,2.925445,2.935655,3.0904550000000004
Long_Coup_dt0,1470152,1470152,87088992,1,2.47746,2.49301,2.4924,2.49964,2.49172
NACA0015,1039183,1039183,6229636,1,1.36345,1.4310200000000002,1.42381,1.44679,1.23488
NLR,4163763,4163763,24975952,1,1.375665,1.385035,1.386315,1.46241,0.7061375
OPF_10000,43887,43887,467711,1,3.25102,3.25002,3.253795,2.46192,3.154695
OPF_3754,15435,15435,158273,1,3.296235,3.272975,3.260775,2.458315,3.281135
OPF_6000,29902,29902,302418,1,3.20413,3.1944,3.2725150000000003,2.319995,3.158265
Oregon-1,11492,11492,46818,1,0.952562,0.937861,0.9780045,1.77631,0.931893
Oregon-2,11806,11806,65460,1,1.125865,1.11432,1.15637,1.837445,1.13348
PFlow_742,742793,742793,37138461,1,2.45885,2.45824,2.45864,2.4594,2.4609300000000003
PGPgiantcompo,10680,10680,48632,1,0.936673,0.951406,0.934548,1.12256,0.9567245
Pres_Poisson,14822,14822,715804,1,2.81614,2.808115,2.8095600000000003,2.831675,2.80804
Queen_4147,4147110,4147110,329499284,1,,,,2.40099,2.3983
Serena,1391349,1391349,64531701,1,2.441935,2.425405,2.422865,2.43902,
Si10H16,17077,17077,875923,1,2.415495,2.422405,,2.392995,2.41828
Si34H36,97569,97569,5156379,1,2.303665,2.321145,2.2784500000000003,2.28811,2.31134
Si41Ge41H72,185639,185639,15011265,1,2.089965,2.0873,2.068915,2.068125,2.096105
Si5H12,19896,19896,738598,1,2.8213100000000004,2.6899300000000004,2.79596,2.791375,2.818105
Si87H76,240369,240369,10661631,1,2.44606,2.471685,2.4380300000000004,2.43135,2.4542900000000003
SiO,33401,33401,1317655,1,2.545985,2.650205,2.637835,2.653785,2.62297
SiO2,155331,155331,11283503,1,2.08521,2.103845,2.09098,2.076435,2.095035
StocF-1465,1465137,1465137,21005389,1,2.597045,2.59799,2.60741,2.60682,2.603415
TEM152078,152078,152078,6459326,1,2.596185,2.590095,2.590465,2.621445,2.5793850000000003
TEM181302,181302,181302,7839010,1,2.584765,2.5954300000000003,2.587775,2.605565,2.583785
TEM27623,27623,27623,439469,1,2.58741,2.580205,2.567405,2.664005,2.59845
TSOPF_FS_b162_c1,10798,10798,608540,1,2.329585,2.33272,2.33114,2.348915,2.34711
TSOPF_FS_b162_c3,30798,30798,1801300,1,2.25709,2.27538,2.276805,2.293625,2.25975
TSOPF_FS_b162_c4,40798,40798,2398220,1,2.23945,2.21974,2.229245,2.21255,2.24041
TSOPF_FS_b300,29214,29214,4400122,1,1.91656,1.910915,1.90819,1.918155,1.923055
TSOPF_FS_b300_c1,29214,29214,4400122,1,1.913025,1.908355,1.91724,1.913715,1.91944
TSOPF_FS_b300_c2,56814,56814,8767466,1,1.91347,1.902215,1.908255,1.91251,1.91719
TSOPF_FS_b300_c3,84414,84414,13135930,1,1.908755,1.9098,1.911385,1.90567,1.910005
TSOPF_FS_b39_c19,76216,76216,1977600,1,2.57415,2.5464,2.52232,2.56437,2.56082
TSOPF_FS_b39_c30,120216,120216,3121160,1,2.49051,2.5062100000000003,2.49138,2.503375,2.52874
TSOPF_FS_b39_c7,28216,28216,730080,1,2.66471,2.661045,2.64852,2.66993,2.67204
TSOPF_FS_b9_c6,14454,14454,147972,1,2.9618650000000004,2.917795,2.90466,2.959365,2.972165
Trefethen_20000,20000,20000,554466,1,3.22274,3.270555,3.21171,3.14038,3.33365
Trefethen_20000b,19999,19999,554435,1,3.23402,3.23685,3.204355,3.152035,3.27948
a0nsdsil,80016,80016,355034,1,2.831135,2.641795,2.620345,2.755795,2.73612
a2nnsnsl,80016,80016,347222,1,2.493385,2.41276,2.4651750000000003,2.59455,2.44172
a5esindl,60008,60008,255004,1,2.834705,2.662585,2.6508200000000004,2.784125,2.727335
adaptive,6815744,6815744,27248640,1,2.3342400000000003,2.06368,2.2372050000000003,2.745215,1.58868
af_0_k101,503625,503625,17550675,1,2.88954,2.895835,2.869275,2.890545,2.899155
af_1_k101,503625,503625,17550675,1,2.8771500000000003,2.88804,2.88033,2.902915,2.912585
af_2_k101,503625,503625,17550675,1,2.88817,2.89833,2.87951,2.865935,2.89649
af_3_k101,503625,503625,17550675,1,2.91994,2.90187,2.885325,2.91012,2.899285
af_4_k101,503625,503625,17550675,1,2.893975,2.89404,2.8749,2.8962250000000003,2.91242
af_5_k101,503625,503625,17550675,1,2.89519,2.88827,2.878435,2.881335,2.880805
af_shell1,504855,504855,17588875,1,2.88889,2.885365,2.87557,2.887905,2.8756
af_shell10,1508065,1508065,52672325,1,2.87901,2.86814,2.85905,2.881765,2.879735
af_shell2,504855,504855,17588875,1,2.86952,2.905225,2.890165,2.888115,2.89429
af_shell3,504855,504855,17588875,1,2.89747,2.895245,2.893795,2.90113,2.892205
af_shell4,504855,504855,17588875,1,2.90688,2.8901,2.888685,2.90686,2.896705
af_shell5,504855,504855,17588875,1,2.899105,2.87268,2.87237,2.8845650000000003,2.89526
af_shell6,504855,504855,17588875,1,2.875095,2.89079,2.888265,2.903915,2.8931500000000003
af_shell7,504855,504855,17588875,1,2.88903,2.88594,2.8774,2.894375,2.88753
af_shell8,504855,504855,17588875,1,2.89898,2.895795,2.87207,2.89395,2.89168
af_shell9,504855,504855,17588875,1,2.89178,2.88656,2.884825,2.88844,2.91035
ak2010,45292,45292,217098,1,0.965379,0.956195,0.9607725,1.15863,0.9527615
al2010,252266,252266,1230482,1,0.9728765,0.9742395,0.9722405,1.02536,0.9669595
analytics,303813,303813,2006126,1,1.76709,1.838195,1.84943,2.2408650000000003,1.75945
apache1,80800,80800,542184,1,3.10985,3.071545,3.02971,3.157195,3.338855
apache2,715176,715176,4817870,1,2.89476,2.885985,2.891515,2.8298050000000003,3.034575
ar2010,186211,186211,904310,1,0.979707,0.9773235,0.983221,1.03019,0.976251
as-22july06,22963,22963,96872,1,0.934718,0.9486315,0.946663,1.67776,0.93621
as-Skitter,1696415,1696415,22190596,1,1.522615,1.525805,1.510145,1.60182,1.408545
asia_osm,11950757,11950757,25423206,1,1.136445,1.096185,1.086645,1.23963,0.855969
astro-ph,16706,16706,242502,1,1.973625,1.905455,1.93234,2.133265,1.91144
audikw_1,943695,943695,77651847,1,2.25415,2.266595,2.262995,2.28067,2.26059
aug2d,29008,29008,76832,1,2.2132050000000003,2.18476,2.2515400000000003,2.20299,2.284305
aug2dc,30200,30200,80000,1,2.30915,2.24051,2.3034,2.194825,2.259295
aug3d,24300,24300,69984,1,2.139135,2.040555,2.069245,2.179525,2.401615
aug3dcqp,35543,35543,128115,1,2.451325,2.4307350000000003,2.439635,2.181225,2.65652
auto,448695,448695,6629222,1,2.08618,2.088385,2.08226,2.075995,1.7042700000000002
az2010,241666,241666,1196094,1,0.9868235,0.9844255,0.9762195,1.092575,0.978663
barth5,15606,15606,61484,1,1.510065,1.529965,1.558715,1.58418,1.53526
bcsstk17,10974,10974,428650,1,2.5752550000000003,2.73709,2.73684,2.73888,2.76214
bcsstk18,11948,11948,149090,1,2.18355,2.13261,2.150795,2.2203150000000003,2.273225
bcsstk25,15439,15439,252241,1,2.671825,2.65652,2.594455,2.54448,2.74088
bcsstk29,13992,13992,619488,1,2.64788,2.66102,2.66148,2.666595,2.673195
bcsstk30,28924,28924,2043492,1,2.400465,2.39584,2.37946,2.41803,2.401285
bcsstk31,35588,35588,1181416,1,2.67726,2.5545150000000003,2.7428350000000004,2.76849,2.73668
bcsstk32,44609,44609,2014701,1,2.58169,2.572325,2.562225,2.5919600000000003,2.581945
bcsstk35,30237,30237,1450163,1,2.681005,2.712635,,2.699565,2.711765
bcsstk36,23052,23052,1143140,1,2.728495,2.722995,2.730625,2.69421,2.703765
bcsstk37,25503,25503,1140977,1,2.69433,2.67946,2.711395,2.727095,2.71288
bcsstk39,46772,46772,2089294,1,2.66451,2.63603,2.645845,2.64705,2.656195
bcsstm25,15439,15439,15439,1,1.121495,1.123085,1.12241,1.1249600000000002,1.11138
bcsstm35,30237,30237,20619,1,1.07932,0.313435,0.6716125,1.0650400000000002,1.06391
bcsstm36,23052,23052,320606,1,2.90693,2.82154,2.90052,2.942425,2.97107
bcsstm37,25503,25503,15525,1,0.8499384999999999,0.2947555,0.315353,0.9513425,0.852122
bcsstm39,46772,46772,46772,1,1.225505,1.22398,1.225565,1.223725,1.224855
belgium_osm,1441295,1441295,3099940,1,1.135205,1.145795,1.13823,1.166425,1.10114
bfly,49152,49152,196608,1,2.811205,2.79285,2.947525,3.0064450000000003,2.9810100000000004
big_dual,30269,30269,89858,1,2.257285,2.25301,,2.34711,2.23266
biplane-9,21701,21701,84076,1,2.440595,2.430415,,2.2059100000000003,2.499025
blockqp1,60012,60012,640033,1,2.525365,2.517245,2.4982,2.5274,2.518135
bloweya,30004,30004,150009,1,2.918485,2.9546650000000003,2.9148750000000003,2.8744050000000003,2.85794
bloweybl,30003,30003,120000,1,2.628165,2.55208,2.5688950000000004,2.596395,2.63464
bloweybq,10001,10001,69991,1,2.733515,2.8304400000000003,,2.82598,2.853695
bmw3_2,227362,227362,11288630,1,2.517355,2.52231,2.50927,2.50385,2.49665
bmw7st_1,141347,141347,7339667,1,2.507755,2.514065,2.50844,2.50127,2.514265
bmwcra_1,148770,148770,10644002,1,2.410335,2.420985,2.418925,2.416635,2.41512
bodyy4,17546,17546,121938,1,2.64765,2.64025,2.6402650000000003,2.61823,2.693675
bodyy5,18589,18589,129281,1,2.7915400000000004,2.76419,,2.764835,2.83714
bodyy6,19366,19366,134748,1,2.891075,2.87222,2.8857150000000003,2.86195,2.951455
bone010,986703,986703,71666325,1,2.411935,2.4085,2.391475,2.41573,2.414365
boneS01,127224,127224,6715152,1,2.47685,2.467255,2.4697050000000003,2.47492,2.47406
boneS10,914898,914898,55468422,1,2.44358,,2.441335,2.4365,2.426965
boyd1,93279,93279,1211231,1,,1.903675,1.76493,,
boyd2,466316,466316,1500397,1,2.28819,2.21884,2.22623,2.232285,2.237065
brack2,62631,62631,733118,1,2.095075,2.058265,2.07308,2.063585,2.14107
brainpc2,27607,27607,179395,1,2.525815,2.606175,2.60319,2.65301,2.659155
bratu3d,27792,27792,173796,1,3.159955,2.97495,2.83293,3.0055050000000003,3.1844200000000003
bundle1,10581,10581,770901,1,2.22453,2.2194000000000003,,2.26171,2.224505
bundle_adj,513351,513351,20208051,1,2.139885,2.14798,2.150645,2.21384,2.13836
c-42,10471,10471,110285,1,2.574065,2.38123,2.375975,2.616535,2.59775
c-43,11125,11125,123675,1,2.462785,2.36913,,2.489135,2.485805
c-44,10728,10728,85000,1,2.28681,2.11466,2.132965,2.119605,2.3381
c-45,13206,13206,174452,1,2.492465,2.357085,2.37727,2.508025,2.495595
c-46,14913,14913,130397,1,2.459635,2.223655,,2.47459,2.508085
c-47,15343,15343,211401,1,2.460725,2.304475,2.287245,2.50565,2.45625
c-48,18354,18354,166080,1,2.402675,2.336895,2.3031550000000003,2.36076,2.475055
c-49,21132,21132,157042,1,2.2023900000000003,2.1360650000000003,2.144665,2.0286600000000004,2.2638
c-50,22401,22401,193625,1,2.302725,2.2517,,2.27642,2.34838
c-51,23196,23196,203050,1,2.4720250000000004,2.29885,2.36592,2.24658,2.493175
c-52,23948,23948,202716,1,2.37727,2.314935,2.32683,2.17991,2.41217
c-53,30235,30235,372213,1,2.5039800000000003,2.35032,2.35018,2.49106,2.522865
c-54,31793,31793,391693,1,2.496585,2.456235,,2.433095,2.5439
c-55,32780,32780,403450,1,2.48482,2.46443,2.4511000000000003,2.29939,2.518295
c-56,35910,35910,380900,1,2.48824,2.34754,2.32888,2.399445,2.4735050000000003
c-57,37833,37833,405197,1,2.518135,2.375865,2.3442350000000003,2.49683,2.5251650000000003
c-58,37595,37595,552557,1,2.37091,2.34161,2.336965,2.40953,2.407135
c-59,41282,41282,480536,1,2.47457,2.456515,2.438895,2.31859,2.496925
c-60,43640,43640,298578,1,2.47487,2.400775,2.39369,2.33031,2.510965
c-61,43618,43618,310016,1,2.266865,2.160685,2.174365,2.065255,2.28584
c-62,41731,41731,559343,1,2.452635,2.448535,2.41983,2.34882,2.482895
c-62ghs,41731,41731,559343,1,2.45627,2.45311,2.421115,2.35291,2.48645
c-63,44234,44234,434704,1,2.422225,2.39377,2.39258,2.25822,2.445085
c-64,51035,51035,717841,1,2.48576,2.290435,2.273745,2.483185,2.46337
c-64b,51035,51035,717841,1,2.47706,2.2983450000000003,2.27015,2.48746,2.47665
c-65,48066,48066,360528,1,2.32424,2.26282,2.247775,2.094655,2.323865
c-66,49989,49989,499007,1,2.345135,2.30518,2.304485,2.358835,2.33216
c-66b,49989,49989,499007,1,2.339495,2.31636,2.301735,2.34887,2.326815
c-67,57975,57975,531935,1,2.491895,2.345,2.374275,2.50667,2.50323
c-67b,57975,57975,531935,1,2.499445,2.33756,2.3653500000000003,2.51961,2.49683
c-68,64810,64810,566006,1,2.17071,2.159135,2.12522,2.115835,2.226465
c-69,67458,67458,623970,1,2.47332,2.433605,2.4244250000000003,2.384095,2.51242
c-70,68924,68924,658986,1,2.521175,2.4792,2.492905,2.480615,2.5563450000000003
c-71,76638,76638,859554,1,2.4276850000000003,2.402505,2.420175,2.308105,2.48182
c-72,84064,84064,707558,1,2.40271,2.35805,2.36159,2.31377,2.434415
c-73,169422,169422,1279274,1,2.4747950000000003,2.25172,2.39289,2.47311,2.4634
c-73b,169422,169422,1279274,1,2.52766,2.35737,2.379215,2.467695,2.462775
c-big,345241,345241,2341011,1,2.219295,2.20969,2.20895,2.147195,2.212395
ca-AstroPh,18772,18772,396160,1,2.107385,2.10475,2.081775,2.213785,2.07764
ca-CondMat,23133,23133,186936,1,1.4391500000000002,1.42851,,1.528465,1.418955
ca-HepPh,12008,12008,237010,1,1.861875,1.847625,1.84498,1.98066,1.851565
ca2010,710145,710145,3489366,1,0.960938,0.9600045,0.958756,1.041185,0.9535275
caidaRouterLevel,192244,192244,1218132,1,1.161025,1.15662,1.1533099999999998,1.352245,1.11056
cant,62451,62451,4007383,1,2.57242,2.51735,2.52997,2.494515,2.55613
case39,40216,40216,1042160,1,2.658495,2.64724,2.642125,2.672515,2.66288
case9,14454,14454,147972,1,2.96227,2.923835,2.90444,2.956705,2.97418
cbuckle,13681,13681,676515,1,2.67336,2.676235,,2.692285,2.676175
cca,49152,49152,139264,1,2.464905,1.838185,1.639815,2.31217,2.56828
ccc,49152,49152,147456,1,2.52376,2.445385,2.5353950000000003,2.56465,2.5153800000000004
cfd1,70656,70656,1828364,1,3.03064,3.105505,3.03899,3.05537,3.04156
cfd2,123440,123440,3087898,1,2.915855,2.879605,2.9263250000000003,2.87217,2.919695
channel-500x100x100-b050,4802000,4802000,85362744,1,3.067055,3.079585,3.04276,3.123385,3.08228
citationCiteseer,268495,268495,2313294,1,1.346175,1.354105,1.33062,1.4193250000000002,1.162725
co2010,201062,201062,974574,1,0.99148,0.99418,0.9905835,1.085125,0.9911465
coAuthorsCiteseer,227320,227320,1628268,1,1.27999,1.242615,1.26868,1.506365,1.219255
coAuthorsDBLP,299067,299067,1955352,1,1.16361,1.16559,1.15859,1.35683,1.127485
coPapersCiteseer,434102,434102,32073440,1,2.03988,2.030145,2.022505,2.07313,2.021385
coPapersDBLP,540486,540486,30491458,1,2.06107,2.063725,1.9926,2.106265,2.0331900000000003
com-Amazon,334863,334863,1851744,1,1.038145,1.0399349999999998,1.034045,1.16034,0.942928
com-DBLP,317080,317080,2099732,1,1.134485,1.119165,1.12742,1.373785,1.06916
com-LiveJournal,3997962,3997962,69362378,1,1.14392,1.201815,1.1542949999999998,1.137945,1.02782
cond-mat,16726,16726,95188,1,1.18929,1.105795,1.150195,1.34722,1.11964
cond-mat-2003,31163,31163,240058,1,1.418885,1.416615,1.3927,1.6545450000000002,1.38122
cond-mat-2005,40421,40421,351386,1,1.508295,1.503925,1.4791249999999998,1.72362,1.4748899999999998
consph,83334,83334,6010480,1,2.42867,2.418135,2.427765,2.43624,2.43091
cont-201,80595,80595,438795,1,3.147155,2.97322,3.13165,3.163205,3.221545
cont-300,180895,180895,988195,1,3.12977,3.143775,3.195805,3.18885,3.208015
cop20k_A,121192,121192,2624331,1,2.726105,2.7619100000000003,2.72222,2.7270450000000004,2.545755
copter1,17222,17222,211064,1,3.23736,3.256635,3.061255,3.38559,3.37632
copter2,55476,55476,759952,1,2.4312,2.41997,2.39389,2.30136,2.48089
crack,10240,10240,60760,1,1.946255,1.926,1.905555,1.94344,1.96007
crack_dual,20141,20141,60086,1,2.310915,2.304175,,2.31247,2.327045
crankseg_1,52804,52804,10614210,1,1.997405,2.00033,1.981355,2.0091900000000003,1.988435
crankseg_2,63838,63838,14148858,1,1.966915,1.973445,1.967545,1.97976,1.971335
crplat2,18010,18010,960946,1,2.766495,2.76032,2.774745,2.74525,2.78529
crystk02,13965,13965,968583,1,2.63391,2.61785,,2.58743,2.64311
crystk03,24696,24696,1751178,1,2.560845,2.524095,2.538735,2.553185,2.54443
crystm02,13965,13965,322905,1,3.320605,3.26258,,3.178335,3.41812
crystm03,24696,24696,583770,1,3.3498400000000004,3.316115,3.306715,3.29405,3.446085
cs4,22499,22499,87716,1,2.24997,2.27007,2.2504850000000003,2.26624,2.26039
ct2010,67578,67578,336352,1,0.996839,0.9863345,0.999502,1.04328,0.9982615
ct20stif,52329,52329,2698463,1,2.48874,2.507295,2.49615,2.50491,2.50386
cti,16840,16840,96464,1,2.7542850000000003,2.653935,2.3630500000000003,2.41226,2.85453
cvxbqp1,50000,50000,349968,1,1.876675,1.859345,1.83369,2.82242,3.14618
cvxqp3,17500,17500,122462,1,2.00693,1.988085,2.004705,2.17223,3.30596
cyl6,13681,13681,714241,1,2.8082450000000003,2.8030150000000003,,2.810595,2.810235
d_pretok,182730,182730,1641672,1,2.82592,2.836085,2.817355,2.77069,2.975675
darcy003,389874,389874,2101242,1,2.7914000000000003,2.834675,2.8164,2.0722,2.381545
dawson5,51537,51537,1010777,1,3.229905,3.13498,3.096895,3.0375300000000003,3.12746
dblp-2010,326186,326186,1615400,1,1.071775,1.05023,1.0145849999999998,1.330955,1.031485
de2010,24115,24115,116056,1,1.000115,0.9993565,1.002005,1.069415,0.998475
debr,1048576,1048576,4194298,1,2.162245,2.166,1.88416,1.921345,2.763005
delaunay_n14,16384,16384,98244,1,1.30832,1.2954,1.31651,1.33211,1.312105
delaunay_n15,32768,32768,196548,1,1.2815,1.2917,1.28001,1.30327,1.285965
delaunay_n16,65536,65536,393150,1,1.29415,1.29009,1.290315,1.308515,1.285365
delaunay_n17,131072,131072,786352,1,1.289025,1.29159,1.291445,1.29483,1.2911549999999998
delaunay_n18,262144,262144,1572792,1,1.254965,1.259895,1.2577850000000002,1.27993,1.2628050000000002
delaunay_n19,524288,524288,3145646,1,1.22589,1.214055,1.223195,1.244725,1.22467
delaunay_n20,1048576,1048576,6291372,1,1.212385,1.217665,1.2151,1.23747,1.22222
delaunay_n21,2097152,2097152,12582816,1,1.20777,1.207705,1.198655,1.2331,1.185605
delaunay_n22,4194304,4194304,25165738,1,1.19176,1.195405,1.189105,1.218585,1.136975
delaunay_n23,8388608,8388608,50331568,1,1.174585,1.19454,1.190765,1.2211,1.131455
delaunay_n24,16777216,16777216,100663202,1,1.1892049999999998,1.187265,1.18838,,
denormal,89400,89400,1156224,1,3.5282850000000003,3.493625,3.52952,3.573745,3.56405
dictionary28,52652,52652,178076,1,0.8984775,0.805259,0.8302695,1.040915,0.748163
dielFilterV2clx,607232,607232,25309272,1,2.546565,2.544535,2.51045,2.58393,2.5313600000000003
dielFilterV2real,1157456,1157456,48538952,1,2.5378800000000004,2.56292,2.54461,2.58555,2.5526150000000003
