matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,20.4028,22.7158,27.1966,23.2245,23.7123,23.931,24.8156,19.4909
144,144649,144649,2148786,64,26.1771,34.99,33.4515,34.4099,35.7444,35.2453,31.6555,15.3829
2cubes_sphere,101492,101492,1647264,64,29.3977,26.4301,29.8672,35.4166,38.7534,29.2514,27.733,33.7186
333SP,3712815,3712815,22217266,64,15.762,15.3458,15.4265,16.6104,11.7267,10.8371,17.4835,8.78363
3dtube,45330,45330,3213618,64,109.789,109.052,110.046,102.188,120.539,121.651,116.916,119.346
3elt,4720,4720,27444,64,31.8642,34.0047,33.0533,35.0603,32.9276,34.4879,32.5915,34.4822
3elt_dual,9000,9000,26556,64,21.6838,23.7089,20.8027,23.6123,23.115,22.7433,23.6588,22.8849
494_bus,494,494,1666,64,18.0362,18.9329,19.1873,22.9135,18.8548,19.04,17.6769,16.5909
598a,110971,110971,1483868,64,27.4695,31.2904,31.0101,30.1016,31.7765,34.1337,29.6171,12.2275
662_bus,662,662,2474,64,20.9578,20.1873,21.4931,21.4693,22.6788,22.2117,19.6365,18.686
685_bus,685,685,3249,64,23.9558,24.9873,26.8593,25.2503,26.1719,25.2498,24.1221,27.1398
ACTIVSg70K,69999,69999,238627,64,12.0715,15.196,14.7775,14.7529,12.088,13.6439,12.2301,13.4009
AS365,3799275,3799275,22736152,64,14.5341,12.2622,15.8711,13.6611,9.25752,9.18501,18.9799,7.28994
Alemdar,6245,6245,42581,64,33.0117,29.3113,32.1845,31.5279,36.9572,,35.3338,27.6638
Andrews,60000,60000,760154,64,24.2684,33.0156,24.6782,26.8079,29.4881,32.1165,25.8917,18.0225
BenElechi1,245874,245874,13150496,64,113.442,114.963,117.454,120.906,119.207,120.703,123.525,88.0627
Binaryalphadigs_10NN,1404,1404,19392,64,48.492,44.2661,48.0477,47.2943,46.5024,47.5513,45.864,45.9549
Bump_2911,2911419,2911419,127729899,64,61.4706,76.0672,64.446,90.6611,104.09,102.653,75.5099,79.4429
CO,221119,221119,7666057,64,32.4764,45.9243,50.3511,33.4208,54.1962,41.3314,34.2722,30.7224
Chem97ZtZ,2541,2541,7361,64,21.9474,20.4871,22.2867,23.0481,23.8957,23.459,24.0707,15.6947
Cube_Coup_dt0,2164760,2164760,127206144,64,75.5272,110.244,82.2117,104.734,111.732,116.089,96.629,98.941
Cube_Coup_dt6,2164760,2164760,127206144,64,76.642,110.029,77.17,104.376,114.939,115.538,97.9948,96.8269
CurlCurl_0,11083,11083,113343,64,40.4051,47.091,39.1159,45.8625,46.5556,45.7429,49.6,52.2956
CurlCurl_1,226451,226451,2472071,64,20.3351,32.8645,26.3992,33.4536,33.8762,33.3502,32.5486,25.6661
CurlCurl_2,806529,806529,8921789,64,16.584,29.6188,26.3696,34.9341,32.0802,33.2146,26.5186,26.1935
CurlCurl_3,1219574,1219574,13544618,64,18.4848,31.9209,28.4446,32.8814,32.828,34.9961,24.9807,25.5494
CurlCurl_4,2380515,2380515,26515867,64,18.4321,32.3437,23.5945,31.6399,35.1314,35.3549,25.0079,25.5153
Dubcova1,16129,16129,253009,64,56.4746,59.0995,57.6597,57.5575,58.1982,,67.3974,36.3272
Dubcova2,65025,65025,1030225,64,43.1438,46.5207,49.1919,45.0382,50.7813,45.6996,45.7876,23.8707
Dubcova3,146689,146689,3636649,64,41.6034,54.9643,48.7397,63.4501,45.5601,57.3861,52.7,18.4314
EX1,560,560,8736,64,45.8777,58.9461,46.4051,46.7804,46.5855,45.1254,46.5985,50.2339
EX2,560,560,8736,64,45.5909,56.8484,45.8332,47.0033,46.8124,50.0541,46.8124,48.4772
