matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,14.8835,14.6026,14.9972,15.0849,15.2869,14.2969,14.179,14.7152
144,144649,144649,2148786,8,39.901,38.3458,40.0926,40.0108,39.264,39.9452,41.595,22.5733
2cubes_sphere,101492,101492,1647264,8,39.3997,41.8681,41.8744,42.243,42.9524,42.1149,42.7668,41.3421
333SP,3712815,3712815,22217266,8,11.1147,15.2226,9.95087,14.6771,13.2444,13.7444,14.7977,4.65956
3dtube,45330,45330,3213618,8,39.0598,40.8654,38.2105,39.5627,40.6845,40.2096,40.4171,40.03
3elt,4720,4720,27444,8,32.5644,37.3069,35.7659,37.7248,37.7686,38.4101,40.6996,37.3675
3elt_dual,9000,9000,26556,8,28.5321,33.2105,29.8921,33.231,33.8562,32.4938,37.0827,34.4987
494_bus,494,494,1666,8,6.52569,7.03149,9.27468,8.89977,6.54958,9.0848,8.82159,8.40454
598a,110971,110971,1483868,8,38.6939,38.2358,39.362,35.4522,40.5115,40.7181,41.0853,20.7426
662_bus,662,662,2474,8,11.4811,8.27551,11.1659,7.30167,10.3489,11.5607,8.84098,7.30606
685_bus,685,685,3249,8,12.5446,7.51648,13.629,7.65828,13.0445,13.4581,7.83017,13.489
ACTIVSg70K,69999,69999,238627,8,24.0753,25.3964,24.8392,25.6265,25.9527,25.7967,25.2958,25.4609
AS365,3799275,3799275,22736152,8,10.8807,14.4728,9.78329,14.7116,9.98983,10.2006,16.4693,3.47549
Alemdar,6245,6245,42581,8,32.2953,32.0175,32.0245,31.5508,33.6307,,34.388,32.404
Andrews,60000,60000,760154,8,36.3797,36.8974,36.8046,37.9333,38.6475,39.0868,36.917,25.4368
BenElechi1,245874,245874,13150496,8,40.7706,41.5762,40.6729,41.6689,41.7059,40.8312,41.6373,41.6179
Binaryalphadigs_10NN,1404,1404,19392,8,31.6474,31.1168,31.0458,32.5296,30.2494,31.6699,31.8258,29.4239
Bump_2911,2911419,2911419,127729899,8,28.3259,33.8434,28.5205,38.1678,39.5191,37.6608,34.8058,35.0942
CO,221119,221119,7666057,8,38.4951,39.293,37.8098,38.9329,38.442,38.7318,39.0043,39.9269
Chem97ZtZ,2541,2541,7361,8,22.0143,20.5795,21.9436,19.2,19.9183,20.7143,21.1863,11.2801
Cube_Coup_dt0,2164760,2164760,127206144,8,31.8576,38.1892,33.0154,38.9732,38.6551,39.7307,37.8607,38.6621
Cube_Coup_dt6,2164760,2164760,127206144,8,32.1273,37.9948,33.41,39.7878,38.9294,39.3883,38.3446,37.5999
CurlCurl_0,11083,11083,113343,8,38.1008,40.9988,39.3604,41.1296,41.1218,40.2646,43.1813,42.3976
CurlCurl_1,226451,226451,2472071,8,33.9938,33.4724,33.5077,32.6122,34.1008,35.2544,27.1273,34.6078
CurlCurl_2,806529,806529,8921789,8,14.0574,22.0638,17.1807,22.4434,23.8154,23.1627,21.5924,20.1861
CurlCurl_3,1219574,1219574,13544618,8,13.4085,22.324,17.6501,21.7728,22.7167,23.4954,20.7081,19.0832
CurlCurl_4,2380515,2380515,26515867,8,12.0354,20.7841,14.6176,21.8202,22.6356,22.1057,19.7886,18.8337
Dubcova1,16129,16129,253009,8,42.3736,44.3327,42.63,44.8489,45.6716,,46.0827,26.5603
Dubcova2,65025,65025,1030225,8,42.5327,45.075,44.3432,45.541,46.5216,46.0857,46.7119,26.6949
Dubcova3,146689,146689,3636649,8,39.8552,40.5584,41.2023,40.9893,40.8207,40.8639,40.6725,22.7733
EX1,560,560,8736,8,24.5194,24.8709,24.4455,25.2942,24.5294,23.6296,22.3538,24.7397
EX2,560,560,8736,8,24.7969,25.1881,24.4137,25.3412,23.4158,23.7925,24.5354,24.5615
EX3,2600,2600,71760,8,40.1625,41.8184,39.5581,41.795,39.9309,39.0487,40.5435,40.6398
EX4,2600,2600,71760,8,40.1135,40.9264,39.7231,41.132,40.3941,39.0834,40.3505,40.6444
EX5,6545,6545,295680,8,40.9958,42.0255,40.811,41.9578,41.4325,,41.7941,42.4579
EX6,6545,6545,295680,8,40.4495,41.6042,40.6181,42.3164,41.4978,,41.7959,42.506
Ecoli_10NN,336,336,4560,8,9.76932,18.6413,19.7082,17.7864,17.9968,17.6006,15.8889,18.2208
Emilia_923,923136,923136,41005206,8,29.2066,34.0044,30.993,36.8704,36.8865,38.0272,36.988,36.8487
Erdos02,6927,6927,16944,8,9.13084,17.7028,7.89926,18.361,21.3625,11.2143,8.93055,8.02392
Erdos971,472,472,2628,8,,10.1789,5.22011,11.1122,7.20132,9.97541,9.13941,10.7013
Erdos972,5488,5488,14170,8,9.42356,17.4765,8.69253,17.9739,20.0584,10.8797,16.2395,7.61746
Erdos981,485,485,2762,8,,10.1056,9.95297,11.2443,12.2834,11.8066,10.8707,11.5593
Erdos982,5822,5822,14750,8,9.82563,17.116,11.9282,17.2178,21.1416,10.7714,13.7745,7.90674
Erdos991,492,492,2834,8,9.47693,10.7681,4.72536,11.1695,12.2887,10.4649,7.10252,12.7756
Erdos992,6100,6100,15030,8,9.40668,17.0477,10.7493,16.3504,20.1023,11.7506,13.7494,7.77271
F1,343791,343791,26837113,8,28.8129,37.2682,35.1006,36.453,38.0684,38.0519,38.749,24.5372
F2,71505,71505,5294285,8,29.4873,39.091,38.5013,39.4665,39.9942,38.8892,39.6365,29.0858
Fashion_MNIST_norm_10NN,10000,10000,158304,8,33.2004,37.1945,39.6851,38.9519,38.9324,39.2856,39.7312,36.3125
Fault_639,638802,638802,28614564,8,31.8677,36.1454,30.5034,36.7827,37.254,38.7279,37.0143,36.9615
Flan_1565,1564794,1564794,117406044,8,35.3022,40.4017,34.6764,40.565,40.4647,40.6493,40.0968,39.9995
G1,800,800,38352,8,33.1105,35.7011,35.8322,35.881,36.5062,35.9103,35.9181,35.6644
G10,800,800,38352,8,32.2231,36.2631,35.3193,35.6596,35.6047,35.8976,36.484,35.7952
G11,800,800,3200,8,8.69385,15.1929,14.5419,14.9981,8.98514,15.3007,15.1177,16.0255
G12,800,800,3200,8,14.4749,15.473,9.81006,15.6114,13.2711,13.8182,9.51464,15.3649
G13,800,800,3200,8,14.2461,14.473,13.9214,14.1325,8.54321,9.13519,12.7939,8.82008
G14,800,800,9388,8,17.0347,22.382,17.1707,19.7097,19.6294,20.2136,18.2469,14.187
G15,800,800,9322,8,16.8784,19.3629,16.0689,22.8705,21.5546,18.3092,20.0615,13.9486
G16,800,800,9344,8,18.3713,22.9147,16.0513,23.176,23.4007,18.9013,19.2261,14.0077
G17,800,800,9334,8,16.4545,22.5157,15.9901,23.2705,21.7168,20.7743,17.8174,13.9696
G18,800,800,9388,8,17.4683,22.7626,15.7867,22.6,21.8647,19.1515,17.9544,14.207
G19,800,800,9322,8,16.1662,19.9428,16.0239,22.8558,21.5749,17.6533,19.9801,14.0761
G2,800,800,38352,8,32.9466,35.6037,35.9201,35.9015,34.4928,35.7797,35.481,36.3071
G20,800,800,9344,8,18.4452,22.6352,17.2066,22.8527,23.2499,18.8624,18.4367,13.8572
G21,800,800,9334,8,15.8369,20.8812,16.4824,23.1045,21.7965,20.9371,16.5821,13.9235
G22,2000,2000,39980,8,33.9781,35.5596,36.871,35.5697,36.4117,35.4907,35.5439,35.9429
G23,2000,2000,39980,8,34.477,36.5531,35.7242,36.5036,36.4745,35.0131,36.1377,35.3509
G24,2000,2000,39980,8,34.6352,36.0646,35.5256,36.7467,36.0079,35.3938,36.4968,35.7065
G25,2000,2000,39980,8,33.8717,36.7595,34.9899,36.5619,36.3269,35.4294,35.9693,36.0183
G26,2000,2000,39980,8,34.4623,34.6335,35.4458,36.5716,36.3538,34.2552,36.3269,35.3001
G27,2000,2000,39980,8,34.2774,36.4078,35.6639,36.7772,35.8145,34.5942,36.1548,36.1007
G28,2000,2000,39980,8,34.4269,36.429,35.8847,37.0091,36.0315,35.3419,35.8725,35.3419
G29,2000,2000,39980,8,34.6021,35.9288,35.4412,36.6291,35.6898,35.7363,36.5172,35.9608
G2_circuit,150102,150102,726674,8,34.1392,42.1376,37.1976,38.9855,40.7388,42.4291,41.2413,41.0427
G3,800,800,38352,8,32.1241,36.1031,35.6181,36.1785,36.4537,36.2093,35.2787,36.4325
G30,2000,2000,39980,8,34.1199,36.7546,35.3082,36.8048,36.3288,35.2983,36.0893,35.8706
G31,2000,2000,39980,8,34.6143,36.8285,35.3473,36.4774,35.8127,35.8117,36.325,36.0363
G32,2000,2000,8000,8,24.1142,26.7782,19.8855,25.8368,22.5828,23.0177,26.5557,26.5737
G33,2000,2000,8000,8,24.569,22.9141,23.3026,24.3362,23.4058,23.2553,25.2599,27.8442
G34,2000,2000,8000,8,22.5939,23.3105,11.6716,23.037,23.1379,23.2004,22.6797,25.0595
G35,2000,2000,23556,8,19.9743,27.807,21.8922,26.2939,29.6551,23.6577,22.4118,15.1164
G36,2000,2000,23532,8,20.5467,28.1814,21.4613,30.4689,29.8988,23.4758,21.8942,15.5389
G37,2000,2000,23570,8,19.1978,27.4827,20.9233,28.3952,30.3057,22.8348,24.724,15.4964
G38,2000,2000,23558,8,22.0192,30.8855,20.6877,27.0899,28.4676,23.1442,22.7641,15.4794
G39,2000,2000,23556,8,20.0178,28.1729,21.0496,27.2023,29.7587,23.6301,22.5768,15.494
G3_circuit,1585478,1585478,7660826,8,8.99687,13.8513,9.45811,13.3624,13.6433,13.5109,14.001,12.0746
G4,800,800,38352,8,32.0289,36.3782,35.5499,36.4426,35.9338,35.9436,36.0538,35.7195
G40,2000,2000,23532,8,20.3697,27.9332,21.6788,30.2444,29.6119,23.2758,21.7605,15.8273
G41,2000,2000,23570,8,20.0024,27.5997,20.8136,28.6443,30.439,23.1104,24.6953,15.1412
G42,2000,2000,23558,8,21.972,29.8821,21.0656,29.1315,28.3103,23.0612,22.5517,15.6557
G43,1000,1000,19980,8,30.7589,32.8221,31.6582,32.6504,31.8861,31.4926,29.8482,31.3574
G44,1000,1000,19980,8,30.8252,29.7679,31.2788,32.2168,31.3717,32.0454,31.376,31.3717
G45,1000,1000,19980,8,31.1666,32.6659,31.2134,32.244,31.6013,31.4119,31.9618,31.796
G46,1000,1000,19980,8,31.3002,30.1961,29.843,33.0036,31.366,31.2959,32.0349,31.2489
G47,1000,1000,19980,8,30.1748,30.1987,32.0005,32.6908,31.5883,30.4722,30.0875,30.7589
G48,3000,3000,12000,8,,28.4435,24.7816,26.1905,25.6783,25.9744,29.2818,29.5102
G49,3000,3000,12000,8,,27.4092,26.1506,26.3226,24.6351,26.2155,29.2776,22.4305
G5,800,800,38352,8,32.1657,35.9221,35.7593,34.5861,35.8556,36.1725,35.6365,35.841
G50,3000,3000,12000,8,24.6115,27.2264,24.6071,27.967,26.1855,24.9405,30.7607,26.2188
G51,1000,1000,11818,8,19.2338,23.903,17.7802,26.11,25.3062,18.3956,19.1965,14.377
G52,1000,1000,11832,8,18.9064,23.7149,18.852,22.5045,25.2779,21.801,18.3211,14.1717
G53,1000,1000,11828,8,19.3168,26.2266,17.9058,25.8677,24.5415,22.9492,21.9419,14.162
G54,1000,1000,11832,8,18.2095,25.2889,18.5789,24.6405,24.532,19.1975,21.3791,13.9816
G55,5000,5000,24996,8,22.8207,25.1864,24.7488,25.1274,24.8318,23.8141,24.324,24.8576
G56,5000,5000,24996,8,23.549,24.7795,25.0147,25.0981,25.7598,23.6411,24.2314,24.1509
G57,5000,5000,20000,8,31.2205,35.73,31.5299,32.5007,33.543,34.1599,37.7642,37.6875
G58,5000,5000,59140,8,19.8015,31.5975,22.0466,29.8232,34.2255,29.3219,25.5464,15.3792
G59,5000,5000,59140,8,19.8602,31.0334,21.2825,29.647,34.5232,29.2543,25.5066,15.4297
G6,800,800,38352,8,31.857,33.6697,36.4074,35.4114,35.9622,36.2471,36.1646,35.8302
G60,7000,7000,34296,8,23.6541,25.6911,25.7046,25.8195,25.8314,23.1518,25.2562,25.7057
G61,7000,7000,34296,8,24.2185,25.6347,25.7007,25.4212,25.8229,24.6579,24.9735,24.9672
G62,7000,7000,28000,8,32.5685,35.3339,32.1055,35.1841,35.2034,35.2588,39.8209,37.9441
G63,7000,7000,82918,8,19.7574,33.8946,22.2141,30.5406,34.662,28.8914,22.8035,15.2848
G64,7000,7000,82918,8,19.7456,33.8398,22.0098,30.2289,34.4328,28.8932,23.0436,15.3016
G65,8000,8000,32000,8,34.3286,37.2501,36.439,34.9584,34.8941,36.1028,39.385,39.3301
G66,9000,9000,36000,8,35.5967,36.791,35.6964,36.7037,34.8456,36.2657,41.1809,38.6378
G67,10000,10000,40000,8,37.6979,36.7454,37.6917,36.8894,34.9896,37.1808,40.8582,40.2139
G7,800,800,38352,8,32.8423,35.8761,35.9123,35.4801,36.0045,34.4055,35.8156,36.3692
G8,800,800,38352,8,31.6717,35.9475,35.0581,34.4136,36.7024,36.0735,35.0143,36.2073
G9,800,800,38352,8,31.5617,36.6178,35.7991,36.2581,36.0281,36.2192,35.9495,35.3762
GAP-road,23947347,23947347,57708624,8,6.27339,8.00896,5.67948,7.84638,5.38827,5.48687,7.35387,5.17
GD06_theory,101,101,380,8,4.21048,3.63696,4.32628,3.54898,3.36426,2.35936,3.65222,3.50515
GD96_c,65,65,250,8,2.89711,2.36637,2.65121,2.39341,2.59672,2.76204,2.57879,2.32916
GD97_a,84,84,332,8,3.73769,2.92799,3.64921,3.50674,3.37498,3.05829,3.3113,2.85115
GD97_b,47,47,264,8,,2.89993,3.23155,3.36336,3.13116,2.65777,3.02164,3.08957
GD98_c,112,112,336,8,3.1936,2.86829,3.34343,0.00117041,3.07371,3.26218,3.30609,2.85764
GD99_b,64,64,252,8,2.59474,2.66338,2.63021,2.76017,2.56173,2.3251,2.4501,2.69488
G_n_pin_pout,100000,100000,1002396,8,23.4564,25.8003,25.8924,26.9464,28.9376,21.899,22.5955,28.6643
Ga10As10H30,113081,113081,6115633,8,23.8274,26.5155,28.0091,27.7837,30.346,33.6012,19.725,29.8356
Ga19As19H42,133123,133123,8884839,8,21.8199,19.81,24.8987,29.4606,30.3122,33.0011,27.7515,29.4914
Ga3As3H12,61349,61349,5970947,8,9.31989,17.813,20.3484,17.0857,20.7286,18.9704,15.6893,22.9268
Ga41As41H72,268096,268096,18488476,8,16.9966,21.7964,29.0701,27.2065,28.406,30.3655,23.7797,27.7928
GaAsH6,61349,61349,3381809,8,12.7959,15.8168,12.1688,16.8326,17.0079,27.6794,11.4369,21.2582
Ge87H76,112985,112985,7892195,8,17.5394,25.0486,30.0975,29.6083,25.3414,36.1379,26.4091,30.0017
Ge99H100,112985,112985,8451395,8,13.9438,18.5144,29.39,30.5435,33.7305,33.0687,27.3616,30.914
Geo_1438,1437960,1437960,63156690,8,30.3617,37.1896,27.2726,39.2213,38.8349,38.7664,35.8456,36.6206
Glass_10NN,214,214,2986,8,16.0863,9.9862,13.1688,14.9953,10.2414,16.6583,16.7398,9.21072
H2O,67024,67024,2216736,8,38.0984,41.9108,41.49,41.9072,42.2152,41.4765,41.658,41.1493
HTC_336_4438,226340,226340,904522,8,16.1432,21.1479,24.1958,28.0511,24.7527,24.7504,19.474,18.1487
HTC_336_9129,226340,226340,883422,8,16.7905,25.3486,23.0919,25.8753,25.225,26.1608,23.4531,19.0815
Hardesty1,938905,938905,12143314,8,23.1912,26.3193,24.1823,25.5981,27.0448,28.1258,25.9076,24.9085
Hook_1498,1498023,1498023,60917445,8,25.3211,36.2591,30.7374,34.7541,37.499,37.4125,34.2583,34.2835
JapaneseVowelsSmall_10NN,9961,9961,131144,8,39.101,39.3087,39.3881,39.8715,39.2208,,39.8616,39.1666
Journals,124,124,12068,8,30.5319,28.4087,29.1619,31.5302,29.2834,32.448,28.5751,26.7656
Kuu,7102,7102,340200,8,36.6301,41.7267,41.9472,41.1977,41.2815,40.9796,41.5416,39.872
L,956,956,3640,8,9.33354,8.90681,14.5599,14.4339,14.2643,15.1581,15.4045,15.0216
L-9,17983,17983,71192,8,35.3452,38.7213,34.9349,36.9792,36.9507,40.4267,41.7515,39.602
LF10,18,18,82,8,1.04545,0.92256,1.04818,1.05209,1.02343,0.968213,0.848644,1.07703
LF10000,19998,19998,99982,8,46.3254,45.9555,46.3336,45.7559,46.119,46.1159,46.1276,45.5527
LFAT5,14,14,46,8,0.617402,0.572248,0.512167,0.607202,0.578955,0.518382,0.585822,0.589757
LFAT5000,19994,19994,79966,8,36.6837,39.0757,42.1355,42.912,36.8569,36.6563,37.0074,42.9636
Lin,256000,256000,1766400,8,26.8684,27.069,26.0229,27.2729,27.6479,26.4436,26.3464,26.1379
Long_Coup_dt0,1470152,1470152,87088992,8,32.1319,36.6186,33.4428,38.6562,40.084,37.8726,36.1362,36.3385
Long_Coup_dt6,1470152,1470152,87088992,8,32.4654,36.3936,33.1311,38.446,40.0394,38.3325,35.7857,36.5889
M6,3501776,3501776,21003872,8,10.9244,14.4793,9.96042,15.1115,12.1823,12.2001,16.954,3.60227
MISKnowledgeMap,2427,2427,57022,8,26.8838,34.3531,37.0427,35.5841,35.3926,34.6373,30.5195,31.2417
Muu,7102,7102,170134,8,41.811,41.3818,42.2308,43.1374,42.9759,43.0399,42.8226,41.1752
NACA0015,1039183,1039183,6229636,8,11.507,14.727,10.6986,15.2904,15.7729,15.3579,17.4933,4.51258
NLR,4163763,4163763,24975952,8,10.8662,15.0915,9.43788,15.1049,9.80355,9.68948,13.8545,3.60791
Na5,5832,5832,305630,8,17.7562,33.9516,19.0324,33.2864,30.4401,32.3196,24.6447,33.4532
NotreDame_yeast,2114,2114,4480,8,11.4142,13.3528,12.2674,11.3419,12.8641,10.9826,12.0958,12.8319
OPF_10000,43887,43887,467711,8,35.0216,42.1722,40.644,42.3694,42.3848,43.0191,41.4484,22.3417
OPF_3754,15435,15435,158273,8,34.4573,41.3009,39.0907,42.33,43.2972,43.0805,39.2926,24.3127
OPF_6000,29902,29902,302418,8,34.2763,42.3314,40.868,43.6162,44.3242,42.8414,38.4335,22.2473
Olivetti_norm_10NN,400,400,5656,8,19.9814,19.3372,20.9281,17.7787,15.7359,20.7228,20.5998,20.2499
Oregon-1,11492,11492,46818,8,,17.0342,12.2878,17.3878,22.4165,12.4096,11.6491,11.4371
Oregon-2,11806,11806,65460,8,,16.1136,14.1433,17.9027,15.9533,14.2238,10.1034,12.8798
PFlow_742,742793,742793,37138461,8,29.2068,34.2914,33.4291,38.1015,38.4624,38.0998,36.4806,36.1891
PGPgiantcompo,10680,10680,48632,8,12.613,20.2925,16.0285,22.6866,21.106,19.5998,15.7685,18.4721
Plants_10NN,1600,1600,21930,8,32.112,32.123,32.5912,33.4047,31.2607,34.0,34.1155,29.8538
Pres_Poisson,14822,14822,715804,8,41.1327,42.897,42.3555,42.8208,42.2418,42.4843,42.6305,42.822
Queen_4147,4147110,4147110,329499284,8,33.9591,38.9955,34.6484,40.2924,39.8825,39.7907,40.2825,40.2213
Reuters911,13332,13332,296076,8,8.1422,33.1033,,27.1334,14.2797,15.4994,8.71701,31.1338
Sandi_authors,86,86,248,8,2.78289,2.80672,2.47998,2.60747,2.71809,2.42424,2.85468,2.3889
Serena,1391349,1391349,64531701,8,30.7751,36.6037,30.0854,34.9539,37.8643,36.8902,33.189,33.1879
Si10H16,17077,17077,875923,8,16.9551,24.69,21.2297,31.9661,28.4782,,24.766,27.1153
Si2,769,769,17801,8,30.3934,26.5134,27.9146,28.5212,22.3038,27.1984,25.7347,27.4056
Si34H36,97569,97569,5156379,8,12.5064,29.1556,27.4682,28.9023,27.4513,30.8709,25.4583,28.2062
Si41Ge41H72,185639,185639,15011265,8,14.4569,26.4515,27.7829,27.1238,27.1551,35.1766,26.0461,27.5902
Si5H12,19896,19896,738598,8,31.8602,28.6298,25.6844,26.9647,25.4214,24.8427,24.8269,31.3486
Si87H76,240369,240369,10661631,8,21.6404,28.3564,31.2365,34.7586,33.1337,33.806,27.4241,32.9421
SiH4,5041,5041,171903,8,28.4498,34.2871,19.0855,19.0938,19.0373,,20.5085,29.001
SiNa,5743,5743,198787,8,25.2093,28.0572,19.9528,20.8417,18.9779,29.8278,24.8536,29.2288
SiO,33401,33401,1317655,8,22.7104,24.8874,27.4609,22.9204,18.8752,20.1026,19.4217,27.5704
SiO2,155331,155331,11283503,8,10.0705,19.0343,12.0639,9.61381,9.1085,24.449,9.87864,15.1564
Spectro_10NN,531,531,7422,8,11.0598,11.507,23.0806,21.9276,23.4392,23.7646,23.5561,21.9786
StocF-1465,1465137,1465137,21005389,8,12.8259,17.1497,15.2572,24.4813,26.4299,25.1271,21.3836,22.0333
Stranke94,10,10,90,8,1.10838,1.07974,0.948,1.0405,0.937936,0.934253,1.18892,1.14448
TEM152078,152078,152078,6459326,8,37.1838,41.0236,41.3845,41.0631,40.5839,40.5253,41.7368,40.5161
TEM181302,181302,181302,7839010,8,37.8229,41.3469,40.4363,40.7376,40.5727,41.3164,41.0115,40.5749
TEM27623,27623,27623,439469,8,40.3916,41.938,42.196,42.5513,42.3339,42.0298,42.7756,42.3911
TSC_OPF_1047,8140,8140,2016902,8,17.9241,17.1123,18.3072,15.9815,15.9384,16.182,19.5611,15.1525
TSC_OPF_300,9774,9774,820804,8,23.0231,36.085,33.8845,28.5826,32.677,22.5568,25.1791,29.9551
TSOPF_FS_b162_c1,10798,10798,608540,8,14.9751,17.2504,22.8719,22.1729,30.6552,17.4441,14.5818,12.8163
TSOPF_FS_b162_c3,30798,30798,1801300,8,13.5667,13.2703,21.0114,34.1575,19.6932,17.3547,13.3876,12.1079
TSOPF_FS_b162_c4,40798,40798,2398220,8,13.7327,17.4706,18.2777,28.1123,17.7394,17.2267,14.5932,11.989
TSOPF_FS_b300,29214,29214,4400122,8,36.7613,18.2921,22.7346,19.9744,19.3125,17.911,13.5155,12.6674
TSOPF_FS_b300_c1,29214,29214,4400122,8,36.26,18.5894,22.5955,20.1106,19.4775,17.9434,13.3862,12.7615
TSOPF_FS_b300_c2,56814,56814,8767466,8,11.9103,16.7265,,24.3332,19.0793,16.7919,13.8067,12.261
TSOPF_FS_b300_c3,84414,84414,13135930,8,12.7869,17.1916,,27.6307,19.3894,16.6467,13.3308,12.0761
TSOPF_FS_b39_c19,76216,76216,1977600,8,14.7041,18.449,,27.6883,26.3277,18.0764,16.2675,13.8518
TSOPF_FS_b39_c30,120216,120216,3121160,8,16.0753,18.2381,,27.8492,30.3896,18.2134,15.9964,13.4727
TSOPF_FS_b39_c7,28216,28216,730080,8,15.2286,18.8463,16.9921,40.5077,22.1865,18.0329,16.3081,13.8763
TSOPF_FS_b9_c1,2454,2454,25032,8,17.8825,20.1781,20.0446,25.7397,23.5075,18.5765,18.7576,16.6827
TSOPF_FS_b9_c6,14454,14454,147972,8,19.0735,20.7649,20.3286,25.9625,32.8867,21.0651,19.315,16.8965
Trefethen_150,150,150,2040,8,8.42778,14.0272,13.8772,8.64929,8.76392,8.67176,14.5302,11.6165
Trefethen_20,20,20,158,8,1.77645,2.05482,1.84403,1.9368,2.01441,2.10013,1.66427,2.04322
Trefethen_200,200,200,2890,8,14.6784,16.9801,10.143,9.7429,10.3772,9.27774,9.57105,9.81998
Trefethen_2000,2000,2000,41906,8,37.5418,39.0232,36.7579,37.6282,38.362,36.9399,38.7596,36.9399
Trefethen_20000,20000,20000,554466,8,39.1099,42.3509,39.4924,39.3336,44.3407,39.338,44.126,37.2312
Trefethen_20000b,19999,19999,554435,8,39.0531,42.4589,39.9705,40.2636,44.4599,39.0617,43.9655,36.4688
Trefethen_200b,199,199,2873,8,9.78447,13.46,16.3599,9.82635,9.52945,9.76608,9.67704,16.8342
Trefethen_20b,19,19,147,8,1.46615,1.78982,1.71565,1.59686,1.86173,1.63195,1.86655,1.75928
Trefethen_300,300,300,4678,8,20.3901,20.9727,14.9132,20.2004,11.4909,20.3901,16.2457,21.1493
Trefethen_500,500,500,8478,8,24.2448,25.5932,24.4319,24.1504,26.0813,25.3703,24.4894,21.5492
Trefethen_700,700,700,12654,8,28.325,28.8934,29.3261,28.1507,27.1217,25.3876,28.8493,29.7007
USAir97,332,332,4252,8,10.2813,14.7514,10.2517,14.8534,18.1128,13.7997,11.7094,15.4732
USpowerGrid,4941,4941,13188,8,17.1021,19.0473,18.1465,18.1968,19.2251,18.3582,19.7937,17.2334
Vehicle_10NN,846,846,10894,8,27.0361,26.9932,27.9841,26.8076,26.7139,25.7385,26.672,25.1437
YaleA_10NN,165,165,2268,8,11.4013,6.56788,8.35957,8.8635,9.15721,8.21504,7.31923,8.06456
YaleB_10NN,2414,2414,34808,8,33.9097,31.1798,33.5454,34.1634,34.5593,33.6881,35.4211,30.9691
a0nsdsil,80016,80016,355034,8,16.3113,22.6841,20.5586,20.265,35.5632,32.2178,24.8909,28.4351
a2nnsnsl,80016,80016,347222,8,21.6724,30.9501,18.3551,21.5409,32.0644,28.0029,25.3189,28.6763
a5esindl,60008,60008,255004,8,19.0924,22.9248,22.6665,19.0285,32.2343,32.531,21.7831,27.8727
adaptive,6815744,6815744,27248640,8,10.8983,11.2737,9.63758,11.2594,7.99787,6.8322,12.8508,6.90192
adjnoun,112,112,850,8,4.0412,5.72101,4.36037,5.58535,5.8776,5.7503,4.73198,4.752
af_0_k101,503625,503625,17550675,8,36.0257,37.355,35.4841,39.2039,40.8517,39.3039,39.3143,40.4142
af_1_k101,503625,503625,17550675,8,38.2438,37.4183,35.2093,38.4817,39.1235,39.8102,39.8916,39.1067
af_2_k101,503625,503625,17550675,8,38.3507,37.1859,35.9495,39.7581,39.3939,41.7057,39.1002,38.9431
af_3_k101,503625,503625,17550675,8,38.4982,36.6107,36.51,39.9954,39.4424,39.4281,40.3891,39.7581
af_4_k101,503625,503625,17550675,8,38.0645,36.2202,36.3032,39.0659,40.4142,41.4094,41.343,39.8219
af_5_k101,503625,503625,17550675,8,36.2113,36.2264,35.0906,38.2672,39.8075,40.8338,38.5826,40.5282
af_shell1,504855,504855,17588875,8,39.7554,39.9351,35.0425,39.2252,40.2697,41.2271,37.5445,37.7952
af_shell10,1508065,1508065,52672325,8,35.3405,35.7845,34.8382,39.4191,39.2653,38.5136,39.0652,38.6373
af_shell2,504855,504855,17588875,8,37.4683,39.8175,34.5636,39.5363,39.4034,39.2789,36.242,37.2534
af_shell3,504855,504855,17588875,8,38.2611,40.1476,34.8108,37.934,39.4931,39.4895,37.1626,36.0663
af_shell4,504855,504855,17588875,8,36.9588,39.3807,35.3562,39.8618,42.6357,40.7103,37.6236,37.6814
af_shell5,504855,504855,17588875,8,37.0345,39.3588,34.8748,38.8522,40.6102,38.8229,36.7209,36.5591
af_shell6,504855,504855,17588875,8,38.015,40.7994,35.1095,40.5323,40.4514,39.5019,38.5553,37.229
af_shell7,504855,504855,17588875,8,37.3857,39.0382,37.1035,38.8272,39.9638,40.0186,37.9044,37.4952
af_shell8,504855,504855,17588875,8,39.3611,40.035,34.8561,40.1326,41.4203,40.6422,36.324,37.4704
af_shell9,504855,504855,17588875,8,37.169,41.0763,37.614,39.4039,39.4868,40.0432,35.7595,37.098
aft01,8205,8205,125567,8,43.4447,45.7655,44.5321,45.4057,45.7243,,46.4504,48.6623
airfoil1,4253,4253,24578,8,33.4652,35.939,33.6707,36.4053,36.3317,35.3833,36.388,34.5439
airfoil1_dual,8034,8034,23626,8,28.8932,31.9726,30.0605,31.9386,32.8484,33.3998,36.2743,33.9587
ak2010,45292,45292,217098,8,25.2656,28.115,24.0924,28.8968,28.9755,28.9062,30.7739,28.3212
al2010,252266,252266,1230482,8,20.8584,20.874,23.673,21.0743,20.3592,21.0756,22.7821,20.9707
analytics,303813,303813,2006126,8,16.7124,18.1279,15.2837,21.2696,21.0069,20.2405,16.2784,17.2291
apache1,80800,80800,542184,8,36.4957,45.6947,41.8243,42.3747,44.781,44.5472,49.5018,46.2944
