matrix_name,m,k,nnz,n,Louvain,METIS,PaToH,RCM,baseline
Dubcova1,16129,16129,253009,1,32.724450000000004,32.968599999999995,,31.8913,31.4883
Dubcova2,65025,65025,1030225,1,37.5696,38.11275,37.886700000000005,36.66315,35.17685
Dubcova3,146689,146689,3636649,1,24.2254,24.53335,20.1816,15.9748,19.4112
Emilia_923,923136,923136,41005206,1,5.185305,5.235405,5.060215,5.444675,5.14628
F1,343791,343791,26837113,1,5.412485,5.200329999999999,5.160305,5.082355,5.381625
F2,71505,71505,5294285,1,10.4239,10.2869,8.960049999999999,9.027175,9.441265
Fault_639,638802,638802,28614564,1,5.264670000000001,5.37501,5.31416,4.68109,5.164975
Flan_1565,1564794,1564794,117406044,1,,,,5.16394,5.395975
G2_circuit,150102,150102,726674,1,33.872,34.26415,33.0217,32.14415,29.05735
G3_circuit,1585478,1585478,7660826,1,5.09732,5.7054100000000005,4.977385,5.213585,5.435165
GAP-road,23947347,23947347,57708624,1,4.011425,3.58822,3.604625,4.40038,3.15285
G_n_pin_pout,100000,100000,1002396,1,22.881,22.817500000000003,21.32895,19.33415,22.78675
Ga10As10H30,113081,113081,6115633,1,7.36043,8.057295,7.295325,7.484465,7.849675
Ga19As19H42,133123,133123,8884839,1,6.161795,6.386015,6.2789,6.10482,5.93145
Ga3As3H12,61349,61349,5970947,1,7.960295,8.35218,8.201125000000001,8.6512,7.98056
Ga41As41H72,268096,268096,18488476,1,5.490335,5.518745,5.199400000000001,5.066599999999999,5.300520000000001
GaAsH6,61349,61349,3381809,1,22.66955,23.33605,17.68685,22.43025,23.839
Ge87H76,112985,112985,7892195,1,5.94703,6.728785,6.686875000000001,6.330125000000001,6.148305000000001
Ge99H100,112985,112985,8451395,1,6.00307,5.92942,6.03618,5.748545,6.282655
Geo_1438,1437960,1437960,63156690,1,4.441355,4.44267,4.442355,4.44241,4.441775
H2O,67024,67024,2216736,1,20.356,32.466,14.2352,31.48805,30.9473
HTC_336_4438,226340,226340,904522,1,25.3027,26.4241,25.72225,24.05,24.77565
HTC_336_9129,226340,226340,883422,1,25.42735,26.1346,24.4863,24.7452,24.5694
Hardesty1,938905,938905,12143314,1,5.586705,5.8736250000000005,5.357545,5.36148,5.025745
Hook_1498,1498023,1498023,60917445,1,5.096780000000001,4.59107,4.61739,4.642845,5.22688
L-9,17983,17983,71192,1,21.37555,20.68345,21.70825,21.80125,22.56155
LF10000,19998,19998,99982,1,26.8751,26.158,26.29385,26.7727,18.68915
LFAT5000,19994,19994,79966,1,22.89,23.00705,16.790950000000002,22.25145,15.7196
Lin,256000,256000,1766400,1,32.70885,29.9658,32.9399,36.0328,34.2743
Long_Coup_dt0,1470152,1470152,87088992,1,5.212210000000001,4.60111,4.429285,4.58938,5.181139999999999
NACA0015,1039183,1039183,6229636,1,6.038735,5.471905,5.01329,5.790175,5.4195
NLR,4163763,4163763,24975952,1,4.7982700000000005,5.06093,4.83722,5.383935,4.52726
OPF_10000,43887,43887,467711,1,34.73595,35.3063,35.0549,28.4548,32.9281
OPF_3754,15435,15435,158273,1,29.486,29.6587,30.30765,19.7779,29.50185
OPF_6000,29902,29902,302418,1,33.78735,33.85995,34.0561,25.58745,32.2476
Oregon-1,11492,11492,46818,1,7.810115,10.38605,11.82485,11.70675,0.714498
Oregon-2,11806,11806,65460,1,11.43165,14.45725,9.806845,15.49905,10.3382
PFlow_742,742793,742793,37138461,1,5.411745,5.53182,5.05105,5.05457,5.309475
PGPgiantcompo,10680,10680,48632,1,11.8824,12.93335,12.28015,14.3648,9.522155
Pres_Poisson,14822,14822,715804,1,33.56055,33.49185,33.35255,33.8658,33.21945
Queen_4147,4147110,4147110,329499284,1,,,,4.63181,5.212585
Serena,1391349,1391349,64531701,1,4.778965,4.769655,4.854465,4.78927,
Si10H16,17077,17077,875923,1,27.37345,27.06075,,26.15865,27.48295
Si34H36,97569,97569,5156379,1,10.5897,9.68726,8.826935,9.80031,9.67454
Si41Ge41H72,185639,185639,15011265,1,5.429985,5.60023,4.9992350000000005,5.194145000000001,5.622155
Si5H12,19896,19896,738598,1,27.999450000000003,25.5215,27.92565,25.8294,28.872300000000003
Si87H76,240369,240369,10661631,1,5.76933,6.113395,5.406055,5.982235,5.90554
SiO,33401,33401,1317655,1,27.86835,25.45815,25.74195,25.01575,29.02495
SiO2,155331,155331,11283503,1,5.830845,5.37823,5.927195,5.57581,5.315435
StocF-1465,1465137,1465137,21005389,1,5.303585,5.145275,5.13189,4.815525,5.1294900000000005
TEM152078,152078,152078,6459326,1,6.2895900000000005,6.849935,6.367839999999999,8.120484999999999,6.45974
TEM181302,181302,181302,7839010,1,6.661295,6.628785000000001,5.77928,5.67533,6.455305
TEM27623,27623,27623,439469,1,30.31605,30.90225,30.4226,31.02895,30.7586
TSOPF_FS_b162_c1,10798,10798,608540,1,23.99845,22.94105,21.77225,21.6904,21.73395
TSOPF_FS_b162_c3,30798,30798,1801300,1,23.9371,22.0894,22.1404,22.01435,22.177950000000003
TSOPF_FS_b162_c4,40798,40798,2398220,1,25.1118,15.3514,22.1532,22.08815,22.19535
TSOPF_FS_b300,29214,29214,4400122,1,14.6122,15.3692,15.3573,14.9701,11.938
TSOPF_FS_b300_c1,29214,29214,4400122,1,14.4553,13.161,15.97565,13.64625,15.4878
TSOPF_FS_b300_c2,56814,56814,8767466,1,6.205395,6.39159,5.51131,5.653085,6.164365
TSOPF_FS_b300_c3,84414,84414,13135930,1,5.5873,5.44658,5.618045,5.67503,5.860565
TSOPF_FS_b39_c19,76216,76216,1977600,1,21.635350000000003,24.34055,19.1719,19.17805,19.21405
TSOPF_FS_b39_c30,120216,120216,3121160,1,1.11824,11.2363,18.2753,18.1805,18.57935
TSOPF_FS_b39_c7,28216,28216,730080,1,1.85187,18.96545,18.91065,18.91645,18.8833
TSOPF_FS_b9_c6,14454,14454,147972,1,15.2927,18.2496,2.04556,13.88525,13.9307
Trefethen_20000,20000,20000,554466,1,32.4815,33.6714,32.6738,32.22565,33.28335
Trefethen_20000b,19999,19999,554435,1,32.22475,33.61505,32.72645,32.14535,33.14215
a0nsdsil,80016,80016,355034,1,22.3236,25.155700000000003,25.86535,24.8185,26.09155
a2nnsnsl,80016,80016,347222,1,23.09115,25.46415,24.51525,24.5192,25.13865
a5esindl,60008,60008,255004,1,22.6258,21.76775,21.117,17.9968,20.47495
adaptive,6815744,6815744,27248640,1,4.885764999999999,4.49631,4.42087,4.65115,4.5582
af_0_k101,503625,503625,17550675,1,5.378995,5.997115000000001,5.798145,5.30307,5.57191
af_1_k101,503625,503625,17550675,1,5.492445,5.670115,5.60217,5.2805,5.63896
af_2_k101,503625,503625,17550675,1,5.606475,5.743725,5.861955,5.375805,5.181525000000001
af_3_k101,503625,503625,17550675,1,5.201510000000001,4.93322,5.608245,5.67572,5.509095
af_4_k101,503625,503625,17550675,1,5.496015,5.419795,4.92741,5.730425,5.302825
af_5_k101,503625,503625,17550675,1,5.363885,5.828315,5.561945,5.53899,5.36923
af_shell1,504855,504855,17588875,1,5.53644,5.584555,5.8414850000000005,5.5394950000000005,5.631545
af_shell10,1508065,1508065,52672325,1,5.053785,4.90387,4.922575,5.12462,5.243494999999999
af_shell2,504855,504855,17588875,1,5.55819,5.27317,5.44237,5.140075,5.464729999999999
af_shell3,504855,504855,17588875,1,5.084725,5.521275,5.296195000000001,5.36994,5.118655
af_shell4,504855,504855,17588875,1,5.23851,5.446960000000001,5.216265,5.776055,5.36019
af_shell5,504855,504855,17588875,1,5.190105,5.579969999999999,5.236745,5.50487,5.155195
af_shell6,504855,504855,17588875,1,5.292235,5.18742,5.419575,5.44327,5.109484999999999
af_shell7,504855,504855,17588875,1,4.69758,4.55776,5.5236350000000005,4.766065,5.54205
af_shell8,504855,504855,17588875,1,5.481855,5.52858,5.430525,5.539875,5.552635
af_shell9,504855,504855,17588875,1,5.590915000000001,5.57241,5.25873,5.368195,5.56756
ak2010,45292,45292,217098,1,13.0394,13.4819,13.24245,15.08955,13.1031
al2010,252266,252266,1230482,1,13.3889,13.3513,13.3857,14.0667,13.312
analytics,303813,303813,2006126,1,21.8716,20.3942,21.4686,20.84425,19.2343
apache1,80800,80800,542184,1,34.9227,32.63585,32.9035,29.80375,30.62015
apache2,715176,715176,4817870,1,8.106684999999999,7.697075,8.04131,7.426165,8.760055000000001
ar2010,186211,186211,904310,1,13.57855,13.41535,13.2334,14.18425,13.50975
as-22july06,22963,22963,96872,1,10.50465,12.7293,8.75413,15.42685,8.596625
as-Skitter,1696415,1696415,22190596,1,5.240635,5.29836,5.0438600000000005,4.830745,4.81705
asia_osm,11950757,11950757,25423206,1,4.408505,4.17215,4.16332,4.4993,4.238569999999999
astro-ph,16706,16706,242502,1,20.87905,19.6825,18.069,20.9077,19.9812
audikw_1,943695,943695,77651847,1,5.035349999999999,5.26412,5.01971,4.987575,4.980875
aug2d,29008,29008,76832,1,20.0501,19.65645,17.85445,19.72205,17.9403
aug2dc,30200,30200,80000,1,20.08675,20.1817,18.55075,19.2951,18.84125
aug3d,24300,24300,69984,1,19.1137,19.01105,16.79175,19.30015,16.8961
aug3dcqp,35543,35543,128115,1,25.1724,25.00045,25.2795,23.00915,22.6431
auto,448695,448695,6629222,1,6.06581,6.922265,6.054315,6.015915,5.190105
az2010,241666,241666,1196094,1,13.3585,13.46225,13.20375,14.75435,13.39965
barth5,15606,15606,61484,1,17.46735,18.09745,18.09025,18.70665,18.22425
bcsstk17,10974,10974,428650,1,27.5221,30.76285,30.9155,30.67265,30.8381
bcsstk18,11948,11948,149090,1,24.9996,24.34035,24.3517,25.53695,25.71955
bcsstk25,15439,15439,252241,1,28.54535,28.55095,24.56215,27.8115,29.4124
bcsstk29,13992,13992,619488,1,31.71255,31.63595,31.6134,31.5707,31.76045
bcsstk30,28924,28924,2043492,1,29.28695,29.64925,29.3991,28.2626,28.6833
bcsstk31,35588,35588,1181416,1,31.4399,31.85445,31.99545,28.498600000000003,32.08695
bcsstk32,44609,44609,2014701,1,32.2459,32.3248,31.9927,31.20645,31.1808
bcsstk35,30237,30237,1450163,1,32.5227,32.85875,,32.59585,32.52435
bcsstk36,23052,23052,1143140,1,31.95225,32.684749999999994,32.768100000000004,32.703,32.453
bcsstk37,25503,25503,1140977,1,31.9141,32.75705,32.40375,32.14885,31.9826
bcsstk39,46772,46772,2089294,1,33.45575,33.145700000000005,33.81335,34.9341,34.04105
bcsstm25,15439,15439,15439,1,7.298055,3.769525,7.17006,7.07728,7.137785
bcsstm35,30237,30237,20619,1,4.2002500000000005,3.594045,7.27488,2.9568700000000003,8.03495
bcsstm36,23052,23052,320606,1,28.9748,24.46215,23.9133,23.31265,30.33895
bcsstm37,25503,25503,15525,1,6.10516,4.39281,4.495525000000001,2.72788,6.472160000000001
bcsstm39,46772,46772,46772,1,12.16525,12.37695,12.3019,11.88995,12.3931
belgium_osm,1441295,1441295,3099940,1,7.27966,6.762315,6.52957,7.01645,5.874915
bfly,49152,49152,196608,1,29.0639,28.66025,29.82085,30.2349,28.5164
big_dual,30269,30269,89858,1,21.6045,14.912299999999998,,21.3313,21.82355
biplane-9,21701,21701,84076,1,22.87635,22.4817,,21.0587,22.61725
blockqp1,60012,60012,640033,1,1.80286,1.81274,1.497145,19.18035,19.93885
bloweya,30004,30004,150009,1,14.60615,17.0117,16.9416,13.95435,16.84075
bloweybl,30003,30003,120000,1,1.92712,1.92146,15.56235,12.5958,1.951165
bloweybq,10001,10001,69991,1,2.14907,2.16404,,2.13181,2.127665
bmw3_2,227362,227362,11288630,1,5.86628,5.3861,5.98776,6.14049,5.5967
bmw7st_1,141347,141347,7339667,1,6.3329,6.937435000000001,5.403404999999999,6.078295000000001,6.830064999999999
bmwcra_1,148770,148770,10644002,1,5.791195,6.044404999999999,5.2979,5.339309999999999,5.81188
bodyy4,17546,17546,121938,1,24.5299,24.99,25.2024,24.64435,24.73145
bodyy5,18589,18589,129281,1,25.66255,25.32855,,24.87015,18.84305
bodyy6,19366,19366,134748,1,25.4591,26.069000000000003,26.9631,24.5455,25.2433
bone010,986703,986703,71666325,1,4.986665,4.972715,4.813015,4.775359999999999,5.028684999999999
boneS01,127224,127224,6715152,1,7.341055000000001,6.609285,7.06433,7.21824,7.160445
boneS10,914898,914898,55468422,1,5.27102,,5.07681,4.98688,5.159545
boyd1,93279,93279,1211231,1,,1.457135,1.39661,,
boyd2,466316,466316,1500397,1,17.473950000000002,1.224495,23.45865,13.57075,14.2793
brack2,62631,62631,733118,1,25.58105,25.94055,25.8222,25.333,25.8404
brainpc2,27607,27607,179395,1,1.913155,1.92617,1.85493,1.92969,1.95876
bratu3d,27792,27792,173796,1,28.23995,30.05565,29.2939,22.48115,29.8496
bundle1,10581,10581,770901,1,24.32595,26.85555,,24.08785,24.08785
bundle_adj,513351,513351,20208051,1,5.483505,5.7656600000000005,5.419045000000001,5.370985,5.497870000000001
c-42,10471,10471,110285,1,18.42285,21.07795,18.94365,18.1307,18.72085
c-43,11125,11125,123675,1,16.793999999999997,17.45405,,16.564,18.02515
c-44,10728,10728,85000,1,21.136,21.243450000000003,21.30865,14.2075,20.41655
c-45,13206,13206,174452,1,19.06105,21.44005,17.89165,17.961599999999997,19.19275
c-46,14913,14913,130397,1,19.6189,17.99625,,20.9954,21.1238
c-47,15343,15343,211401,1,24.64895,20.0088,24.48045,24.0317,24.09495
c-48,18354,18354,166080,1,24.952350000000003,24.2131,25.10565,22.479,24.0488
c-49,21132,21132,157042,1,24.0753,24.22605,24.4443,18.08735,22.72265
c-50,22401,22401,193625,1,23.9043,24.66715,,19.65585,22.41935
c-51,23196,23196,203050,1,25.24425,24.5788,21.8473,19.8112,23.3203
c-52,23948,23948,202716,1,26.2543,26.62065,25.99345,19.52905,23.4286
c-53,30235,30235,372213,1,25.42015,26.04345,24.1697,22.81975,20.9641
c-54,31793,31793,391693,1,23.7605,25.7401,,23.0293,25.2437
c-55,32780,32780,403450,1,25.06235,28.09295,28.0432,20.0627,26.3035
c-56,35910,35910,380900,1,24.7086,27.000300000000003,26.48505,22.4174,24.4386
c-57,37833,37833,405197,1,22.43365,20.90475,19.95335,22.13495,21.82705
c-58,37595,37595,552557,1,24.87905,25.7795,24.5914,24.42915,26.7692
c-59,41282,41282,480536,1,28.3922,27.4171,28.0535,19.5199,25.9806
c-60,43640,43640,298578,1,27.22895,27.3388,27.51595,22.5282,23.5611
c-61,43618,43618,310016,1,26.34475,25.9533,26.6037,19.1509,23.57765
c-62,41731,41731,559343,1,25.8949,28.16115,28.5492,20.980400000000003,25.81275
c-62ghs,41731,41731,559343,1,25.4812,28.0848,28.3862,21.08525,25.9593
c-63,44234,44234,434704,1,20.9918,26.67795,27.02815,19.422,25.1882
c-64,51035,51035,717841,1,21.1631,23.32885,21.05675,21.20185,22.36735
c-64b,51035,51035,717841,1,21.05565,23.34255,21.68885,21.18885,22.3961
c-65,48066,48066,360528,1,27.893500000000003,26.5708,27.1232,19.2365,24.07895
c-66,49989,49989,499007,1,25.86295,27.6339,26.2771,22.5828,24.21105
c-66b,49989,49989,499007,1,25.88615,27.7004,25.3763,22.6389,24.22895
c-67,57975,57975,531935,1,24.14045,27.40135,27.1198,23.9754,24.1402
c-67b,57975,57975,531935,1,24.2641,27.4408,27.1496,23.343,24.23475
c-68,64810,64810,566006,1,26.5242,27.01065,26.0728,19.090200000000003,24.4633
c-69,67458,67458,623970,1,29.0409,26.933,27.7579,21.804,25.286
c-70,68924,68924,658986,1,28.85225,26.52055,29.345,23.631,26.0825
c-71,76638,76638,859554,1,29.09875,26.4015,28.5597,19.23965,26.2734
c-72,84064,84064,707558,1,28.3858,28.1977,25.6476,21.66985,25.00405
c-73,169422,169422,1279274,1,24.07375,18.73285,19.88935,22.00605,19.8989
c-73b,169422,169422,1279274,1,24.10235,17.22335,19.9047,6.218105,19.93845
c-big,345241,345241,2341011,1,25.71395,26.0253,26.353,17.021700000000003,20.5123
ca-AstroPh,18772,18772,396160,1,24.11105,22.39605,21.84575,16.5311,25.0133
ca-CondMat,23133,23133,186936,1,16.672600000000003,13.14095,,15.90505,19.0131
ca-HepPh,12008,12008,237010,1,20.88335,19.83215,14.72155,15.3611,22.9468
ca2010,710145,710145,3489366,1,10.04795,9.94093,10.0329,10.56005,8.445554999999999
caidaRouterLevel,192244,192244,1218132,1,12.04625,13.0415,12.81285,9.433275,7.601794999999999
cant,62451,62451,4007383,1,17.8063,19.0217,20.7741,16.831049999999998,20.5158
case39,40216,40216,1042160,1,28.3813,23.13135,19.06015,19.05105,19.0737
case9,14454,14454,147972,1,17.657200000000003,18.27775,2.068495,13.92055,13.77925
cbuckle,13681,13681,676515,1,31.8341,32.04525,,32.0162,32.07265
cca,49152,49152,139264,1,14.9407,20.5502,19.60565,23.06775,23.04225
ccc,49152,49152,147456,1,26.2681,20.56285,26.6709,26.8468,26.5999
cfd1,70656,70656,1828364,1,34.341750000000005,34.74425,16.720950000000002,34.8245,35.024
cfd2,123440,123440,3087898,1,20.67255,14.3295,27.50775,30.6601,31.45985
channel-500x100x100-b050,4802000,4802000,85362744,1,5.00837,4.91573,5.0745450000000005,5.07369,5.1153
citationCiteseer,268495,268495,2313294,1,13.4257,14.541250000000002,13.2656,8.999365000000001,12.87705
co2010,201062,201062,974574,1,13.4596,13.42525,13.3085,14.6081,13.51825
coAuthorsCiteseer,227320,227320,1628268,1,15.1211,15.14965,13.53865,12.8011,8.79247
coAuthorsDBLP,299067,299067,1955352,1,13.24945,9.91349,12.0683,11.2943,7.930705
coPapersCiteseer,434102,434102,32073440,1,5.40038,5.25488,5.38133,4.652095,5.177004999999999
coPapersDBLP,540486,540486,30491458,1,5.55191,5.247434999999999,5.32305,5.473825,5.34929
com-Amazon,334863,334863,1851744,1,11.48295,13.494599999999998,12.98715,11.0199,12.2495
com-DBLP,317080,317080,2099732,1,13.04985,14.23275,9.994755,11.23035,9.58828
com-LiveJournal,3997962,3997962,69362378,1,4.72993,4.993455,4.741525,4.71393,4.5036000000000005
cond-mat,16726,16726,95188,1,13.7105,14.80975,14.3794,14.92055,13.6612
cond-mat-2003,31163,31163,240058,1,12.8602,14.00855,12.9334,14.8388,11.9986
cond-mat-2005,40421,40421,351386,1,13.69105,15.6752,12.4322,13.91765,12.15955
consph,83334,83334,6010480,1,7.564505,8.818755,9.14752,6.447570000000001,8.45964
cont-201,80595,80595,438795,1,35.1712,33.9304,35.24035000000001,35.0077,35.4346
cont-300,180895,180895,988195,1,36.9303,36.50285,36.62695,37.080200000000005,37.09265
cop20k_A,121192,121192,2624331,1,27.18375,30.41085,29.5528,30.221,26.8832
copter1,17222,17222,211064,1,30.15365,30.36575,29.89495,30.06315,31.48805
copter2,55476,55476,759952,1,28.125,28.16725,28.36885,28.034,28.2295
crack,10240,10240,60760,1,18.3726,17.481050000000003,19.1707,18.77775,18.59565
crack_dual,20141,20141,60086,1,18.6741,19.3142,,19.0492,18.97725
crankseg_1,52804,52804,10614210,1,5.614554999999999,6.210744999999999,6.15842,5.707315,5.942075
crankseg_2,63838,63838,14148858,1,5.672345,5.750954999999999,5.95562,5.724245,5.4882550000000005
crplat2,18010,18010,960946,1,32.49185,33.63865,33.378600000000006,33.3772,32.466300000000004
crystk02,13965,13965,968583,1,30.05665,29.818150000000003,,29.76595,30.1364
crystk03,24696,24696,1751178,1,30.27375,30.06855,30.1615,30.0842,30.21355
crystm02,13965,13965,322905,1,32.14035,32.0255,,31.34695,33.116
crystm03,24696,24696,583770,1,32.4506,34.537499999999994,32.19855,33.759100000000004,35.04495
cs4,22499,22499,87716,1,21.44965,21.52055,21.4964,21.11355,15.43995
ct2010,67578,67578,336352,1,13.99555,14.07975,13.94255,14.53345,13.9864
ct20stif,52329,52329,2698463,1,29.16735,30.1784,28.86455,30.1794,29.99145
cti,16840,16840,96464,1,25.3223,24.813,22.65645,23.64895,25.43705
cvxbqp1,50000,50000,349968,1,23.83125,23.6521,23.50835,33.39525,35.36195
cvxqp3,17500,17500,122462,1,23.7911,23.9546,24.46565,23.47705,28.16205
cyl6,13681,13681,714241,1,33.4841,33.49475,,33.5703,27.59715
d_pretok,182730,182730,1641672,1,34.59605,33.5588,35.73415,32.4244,34.004450000000006
darcy003,389874,389874,2101242,1,32.69735,28.6507,31.94905,26.11815,19.9066
dawson5,51537,51537,1010777,1,33.8222,33.54525,34.2013,33.22935,33.7756
dblp-2010,326186,326186,1615400,1,9.1744,9.446465,9.82885,12.7021,9.18771
de2010,24115,24115,116056,1,14.4077,14.4735,14.45715,15.7717,14.15285
debr,1048576,1048576,4194298,1,6.65944,6.785935,6.01942,5.70947,6.901025
delaunay_n14,16384,16384,98244,1,17.90685,18.5016,17.773249999999997,18.57525,18.06655
delaunay_n15,32768,32768,196548,1,17.698,17.92825,17.899099999999997,17.7558,17.92355
delaunay_n16,65536,65536,393150,1,17.933149999999998,17.81925,17.0124,17.94645,17.81205
delaunay_n17,131072,131072,786352,1,17.629649999999998,17.61925,17.69675,17.82325,17.71195
delaunay_n18,262144,262144,1572792,1,9.37273,17.5534,17.5972,17.775399999999998,17.0767
delaunay_n19,524288,524288,3145646,1,13.5201,12.923,14.26405,14.69245,10.6833
delaunay_n20,1048576,1048576,6291372,1,5.6096900000000005,6.013775,4.6821,5.270569999999999,5.574260000000001
delaunay_n21,2097152,2097152,12582816,1,5.17999,4.58507,4.9276,4.91158,4.824255
delaunay_n22,4194304,4194304,25165738,1,4.87564,4.914785,4.82414,4.698385,4.00516
delaunay_n23,8388608,8388608,50331568,1,4.91777,4.51525,4.725155,4.730919999999999,3.25979
delaunay_n24,16777216,16777216,100663202,1,4.767720000000001,4.629345,4.284095000000001,,
denormal,89400,89400,1156224,1,38.1964,39.17715,38.83595,37.14205,40.26375
dictionary28,52652,52652,178076,1,5.26618,4.437755,4.65803,10.2747,4.522315
dielFilterV2clx,607232,607232,25309272,1,5.40229,5.44814,5.386675,5.20281,5.353705
dielFilterV2real,1157456,1157456,48538952,1,5.24529,4.597519999999999,4.98157,4.600815,5.2288250000000005
dielFilterV3clx,420408,420408,32886208,1,4.86205,5.33933,4.878245,4.90536,4.50272
dielFilterV3real,1102824,1102824,89306020,1,,4.61365,,,
dixmaanl,60000,60000,299998,1,33.1471,29.7153,30.61125,33.9178,32.815349999999995
dtoc,24993,24993,69972,1,19.5127,12.4021,,20.17355,15.5719
ecology1,1000000,1000000,4996000,1,7.079175,7.328865,6.34593,6.122075000000001,7.344455
ecology2,999999,999999,4995991,1,7.003165,6.7983,6.311655,6.48222,7.1374200000000005
email-Enron,36692,36692,367662,1,13.75225,14.9447,11.60115,16.76335,12.8291
engine,143571,143571,4706073,1,10.3269,12.76265,12.4437,12.8827,9.788155
europe_osm,50912018,50912018,108109320,1,,,,4.31898,
ex3sta1,16782,16782,678998,1,31.4563,31.68745,31.2373,32.5768,28.2978
fcondp2,201822,201822,11294316,1,5.300269999999999,5.718655,5.924474999999999,5.948124999999999,5.68413
fe_4elt2,11143,11143,65636,1,19.55095,20.87825,19.63465,19.4508,20.1245
fe_body,45087,45087,327468,1,19.8773,20.10725,20.339550000000003,20.0578,18.84765
fe_ocean,143437,143437,819186,1,29.0378,29.94895,29.73335,29.7299,22.17765
fe_rotor,99617,99617,1324862,1,27.32295,22.58825,27.2174,27.24795,25.79235
fe_sphere,16386,16386,98304,1,26.0289,16.539900000000003,26.4136,25.89905,26.19025
fe_tooth,78136,78136,905182,1,25.9101,25.9925,26.14625,24.46455,26.23905
filter3D,106437,106437,2707179,1,29.07965,25.849,28.58885,30.43665,21.93335
finan512,74752,74752,596992,1,32.151650000000004,33.56055,34.1587,31.5027,33.897850000000005
